Generated by pymatgen.io.lammps.data.LammpsData

167  atoms

  2  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847000
2  30.973762

Atoms

1     1  1 28.615773 28.556869 28.543869
2     1  1  0.002308  0.024515  2.854669
3     1  1  0.000281  0.014294  5.711039
8     1  1  0.000063  0.012917 19.987118
9     1  1 -0.000312  0.014764 22.845679
10    1  1 28.465802 28.510331 25.784736
11    1  1  0.002308  2.867669  0.011515
12    1  1 28.532398  2.847405  2.834405
19    1  1 28.555912  2.867457 22.844411
20    1  1  0.000021  2.871429 25.697584
21    1  1  0.000281  5.724039  0.001295
30    1  1  0.001271  5.725624 25.696474
71    1  1  0.000063 20.000117 -0.000083
80    1  1  0.000244 20.000318 25.697550
81    1  1 -0.000312 22.858679  0.001764
82    1  1 28.555912 22.857411  2.854457
89    1  1 28.549923 22.861904 22.848904
90    1  1  0.002463 22.856488 25.695261
91    1  1 28.465802 25.797736 28.497331
92    1  1  0.000021 25.710584  2.858429
93    1  1  0.001271 25.709474  5.712624
98    1  1  0.000244 25.710550 19.987318
99    1  1  0.002463 25.708261 22.843488
100   1  1 28.508979 25.754693 25.741693
101   1  1  2.861929  0.017014  0.004014
102   1  1  2.853324  0.011411  2.853444
109   1  1  2.849710  0.012634 22.848057
110   1  1  2.852054  0.014685 25.697934
111   1  1  2.853324  2.866444 28.551531
119   1  1  2.846478  2.859241 22.851315
120   1  1  2.853329  2.867407 25.694968
181   1  1  2.849710 22.861057 28.552754
182   1  1  2.846478 22.864315  2.846241
189   1  1  2.848006 22.862776 22.849776
190   1  1  2.848866 22.861892 25.700951
191   1  1  2.852054 25.710934  0.001685
192   1  1  2.853329 25.707968  2.854407
199   1  1  2.848866 25.713951 22.848892
200   1  1  2.854273 25.708164 25.695164
201   1  1  5.711130  0.012927 -0.000073
210   1  1  5.710707  0.012878 25.697655
291   1  1  5.710707 25.710655 -0.000122
300   1  1  5.710516 25.710498 25.697498
701   1  1 19.985020  0.013691  0.000691
710   1  1 19.986836  0.014440 25.697370
791   1  1 19.986836 25.710370  0.001440
800   1  1 19.985172 25.709506 25.696506
801   1  1 22.796552  0.016825  0.003825
802   1  1 22.854920  0.006531  2.842858
809   1  1 22.843934  0.011781 22.844193
810   1  1 22.843010  0.024921 25.695046
811   1  1 22.854920  2.855858 28.546651
812   1  1 22.857109  2.853689  2.840689
819   1  1 22.843538  2.867255 22.845157
820   1  1 22.862992  2.847781 25.718249
881   1  1 22.843934 22.857193 28.551901
882   1  1 22.843538 22.858157  2.854255
889   1  1 22.851544 22.864304 22.851304
890   1  1 22.843312 22.857406 25.694972
891   1  1 22.843010 25.708046  0.011921
892   1  1 22.862992 25.731249  2.834781
899   1  1 22.843312 25.707972 22.844406
900   1  1 22.839243 25.710606 25.697606
901   1  1 26.409464 27.853676 27.840676
902   1  1 25.693851  0.016736  2.901183
903   1  1 25.697073  0.013675  5.712785
908   1  1 25.697580  0.013216 19.986880
909   1  1 25.693251  0.017482 22.835824
910   1  1 25.705897 28.557833 25.634122
911   1  1 25.693851  2.914183  0.003737
912   1  1 25.704251  2.855803  2.842803
919   1  1 25.698990  2.866845 22.844187
920   1  1 25.685781  2.867728 25.695012
921   1  1 25.697073  5.725785  0.000675
930   1  1 25.696326  5.723985 25.697339
971   1  1 25.697580 19.999880  0.000216
980   1  1 25.697875 20.000110 25.697730
981   1  1 25.693251 22.848824  0.004482
982   1  1 25.698990 22.857187  2.853845
989   1  1 25.698124 22.861055 22.848055
990   1  1 25.695951 22.858672 25.698034
991   1  1 25.705897 25.647122 28.544833
992   1  1 25.685781 25.708012  2.854728
993   1  1 25.696326 25.710339  5.710985
998   1  1 25.697875 25.710730 19.987110
999   1  1 25.695951 25.711034 22.845672
1000  1  1 25.753298 25.797853 25.784853
1001  1  1  1.427152  1.439955  1.426955
1002  1  1  1.426795  1.443479  4.282656
1008  1  1  1.426316  1.438773 21.417043
1009  1  1  1.402651  1.418098 24.295049
1010  1  1  1.425036  1.443805 27.114552
1011  1  1  1.426795  4.295656  1.430479
1019  1  1  1.426433  4.294969 24.271351
1020  1  1  1.426197  4.295519 27.126769
1071  1  1  1.426316 21.430043  1.425773
1079  1  1  1.426886 21.429636 24.270898
1080  1  1  1.425992 21.430065 27.126127
1081  1  1  1.402651 24.308049  1.405098
1082  1  1  1.426433 24.284351  4.281969
1088  1  1  1.426886 24.283898 21.416637
1089  1  1  1.409935 24.300774 24.287774
1090  1  1  1.412016 24.298655 27.133129
1091  1  1  1.425036 27.127552  1.430805
1092  1  1  1.426197 27.139769  4.282519
1098  1  1  1.425992 27.139127 21.417065
1099  1  1  1.412016 27.146129 24.285655
1100  1  1  1.471784 27.135837 27.122837
1101  1  1  4.284384  1.440946  1.427946
1109  1  1  4.280745  1.438769 24.271454
