Generated by pymatgen.io.lammps.data.LammpsData

16000  atoms

    2  atom types

0.000000 57.106240  xlo xhi
0.000000 57.106240  ylo yhi
0.000000 57.106240  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847000
2  30.973762

Atoms

1      0  1  0.000045  0.025911  2.894258
2      0  1  0.000045  0.025911  5.713022
3      0  1  0.000045  0.025911  8.566256
4      0  1  0.000045  0.025911 11.421407
5      0  1  0.000023  0.025852 14.276511
6      0  1  0.000011  0.025863 17.131812
7      0  1  0.000002  0.025898 19.987168
8      0  1 57.106235  0.025947 22.842555
9      0  1 57.106230  0.026004 25.697961
10     0  1 57.106227  0.026066 28.553379
11     0  1 57.106225  0.026129 31.408802
12     0  1 57.106225  0.026189 34.264225
13     0  1 57.106227  0.026244 37.119643
14     0  1 57.106231  0.026288 39.975046
15     0  1 57.106237  0.026316 42.830421
16     0  1  0.000007  0.026323 45.685737
17     0  1  0.000018  0.026303 48.540843
18     0  1  0.000031  0.026257 51.393983
19     0  1  0.000042  0.026197 54.212629
20     0  1  0.000054  2.920136  0.000320
21     0  1  0.000049  2.874511  2.848835
22     0  1  0.000042  2.880168  5.709635
23     0  1  0.000032  2.880788  8.565691
24     0  1  0.000021  2.880869 11.421081
25     0  1  0.000008  2.880899 14.276411
26     0  1 57.106238  2.880920 17.131759
27     0  1 57.106231  2.880957 19.987141
28     0  1 57.106227  2.881007 22.842546
29     0  1 57.106225  2.881064 25.697964
30     0  1 57.106225  2.881126 28.553389
31     0  1 57.106227  2.881187 31.408814
32     0  1 57.106230  2.881246 34.264236
33     0  1 57.106235  2.881296 37.119649
34     0  1  0.000002  2.881333 39.975047
35     0  1  0.000010  2.881347 42.830428
36     0  1  0.000021  2.881322 45.685792
37     0  1  0.000032  2.881211 48.541194
38     0  1  0.000042  2.880508 51.397247
39     0  1  0.000050  2.874705 54.258048
40     0  1  0.000050  5.738743  0.000266
41     0  1  0.000042  5.735305  2.854529
42     0  1  0.000029  5.733997  5.708350
43     0  1  0.000011  5.735414  8.564953
44     0  1 57.106234  5.735808 11.420726
45     0  1 57.106219  5.735928 14.276218
46     0  1 57.106209  5.735986 17.131651
47     0  1 57.106202  5.736035 19.987079
48     0  1 57.106200  5.736088 22.842515
49     0  1 57.106200  5.736147 25.697955
50     0  1 57.106203  5.736208 28.553395
51     0  1 57.106208  5.736267 31.408830
52     0  1 57.106215  5.736321 34.264259
53     0  1 57.106223  5.736363 37.119680
54     0  1 57.106234  5.736385 39.975095
55     0  1  0.000006  5.736367 42.830519
56     0  1  0.000019  5.736250 45.686008
57     0  1  0.000032  5.735815 48.541785
58     0  1  0.000043  5.734304 51.398401
59     0  1  0.000050  5.735471 54.252237
60     0  1  0.000042  8.591827  0.000217
61     0  1  0.000031  8.591327  2.855141
62     0  1  0.000011  8.590598  5.709770
63     0  1 57.106227  8.590411  8.564765
64     0  1 57.106203  8.590787 11.420426
65     0  1 57.106184  8.590989 14.276006
66     0  1 57.106171  8.591092 17.131512
67     0  1 57.106165  8.591164 19.986993
68     0  1 57.106164  8.591229 22.842466
69     0  1 57.106166  8.591293 25.697932
70     0  1 57.106171  8.591354 28.553391
71     0  1 57.106178  8.591409 31.408842
72     0  1 57.106187  8.591453 34.264285
73     0  1 57.106199  8.591480 37.119724
74     0  1 57.106212  8.591475 39.975168
75     0  1 57.106228  8.591406 42.830642
76     0  1  0.000005  8.591198 45.686204
77     0  1  0.000022  8.590771 48.541866
78     0  1  0.000036  8.590864 51.396877
79     0  1  0.000044  8.591468 54.251525
80     0  1  0.000032 11.446870  0.000190
81     0  1  0.000018 11.446695  2.855203
82     0  1 57.106233 11.446365  5.710156
83     0  1 57.106203 11.446072  8.565138
84     0  1 57.106173 11.446033 11.420384
85     0  1 57.106151 11.446163 14.275868
86     0  1 57.106138 11.446279 17.131390
87     0  1 57.106133 11.446371 19.986905
88     0  1 57.106133 11.446451 22.842408
89     0  1 57.106137 11.446522 25.697899
90     0  1 57.106143 11.446585 28.553377
91     0  1 57.106151 11.446633 31.408843
92     0  1 57.106160 11.446664 34.264303
93     0  1 57.106172 11.446669 37.119762
94     0  1 57.106186 11.446635 39.975228
95     0  1 57.106204 11.446542 42.830710
96     0  1 57.106224 11.446394 45.686174
97     0  1  0.000004 11.446377 48.541425
98     0  1  0.000022 11.446583 51.396430
99     0  1  0.000032 11.446808 54.251406
100    0  1  0.000021 14.302126  0.000187
101    0  1  0.000007 14.302032  2.855230
102    0  1 57.106219 14.301854  5.710269
103    0  1 57.106184 14.301650  8.565336
104    0  1 57.106151 14.301516 11.420512
105    0  1 57.106127 14.301508 14.275858
106    0  1 57.106116 14.301580 17.131329
107    0  1 57.106114 14.301669 19.986842
108    0  1 57.106118 14.301757 22.842359
109    0  1 57.106124 14.301836 25.697864
110    0  1 57.106131 14.301899 28.553355
111    0  1 57.106137 14.301941 31.408833
