Generated by pymatgen.io.lammps.data.LammpsData

211  atoms

  2  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847000
2  30.973762

Atoms

2     2  1  0.004096  0.010770  2.854300
3     1  1  0.001239  0.001013  5.711356
11    2  1  0.004096  2.854293  0.010777
12    2  1 28.531530  2.830122  2.830129
13    1  1 28.551869  2.853344  5.708183
21    1  1  0.001239  5.711350  0.001019
22    1  1 28.551869  5.708176  2.853351
1812  1  1 24.274538  4.274832  4.274839
101   2  1  2.863418  0.005031  0.005037
1811  2  1 24.268602  4.281213  1.429212
112   2  1  2.855368  2.854417  2.854424
1803  1  1 24.270585  1.427223  7.137687
201   1  1  5.711563  0.000871  0.000878
1802  2  1 24.268602  1.429206  4.281220
1801  2  1 24.315271  1.382537  1.382544
1921  1  1 27.125989  7.138401  1.427232
1912  1  1 27.125821  4.276160  4.276167
1911  2  1 27.128109  4.279887  1.426809
1903  1  1 27.125989  1.427225  7.138407
1902  2  1 27.128109  1.426802  4.279894
1901  2  1 27.070319  1.341091  1.341098
1712  1  1 21.423668  4.274140  4.274147
712   1  1 19.990236  2.853363  2.853369
1711  1  1 21.422976  4.274832  1.423277
801   2  1 22.797895  0.001781  0.001788
812   1  1 22.861540  2.836268  2.836275
813   1  1 22.844445  2.853363  5.707579
1702  1  1 21.422976  1.423270  4.274839
822   1  1 22.844445  5.707572  2.853369
1701  2  1 21.416595  1.429206  1.429212
1821  1  1 24.270585  7.137680  1.427229
902   2  1 25.696027  0.001781  2.899920
911   2  1 25.696027  2.899913  0.001788
912   2  1 25.706425  2.838842  2.838849
913   1  1 25.699323  2.852460  5.707571
922   1  1 25.699323  5.707564  2.852467
923   1  1 25.698612  5.706484  5.706490
1001  2  1  1.431452  1.428437  1.428443
1002  2  1  1.428226  1.430616  4.282051
1011  2  1  1.428226  4.282044  1.430623
1012  1  1  1.419070  4.273518  4.273525
1101  2  1  4.285949  1.429743  1.429750
1601  1  1 18.560128  1.427223  1.427229
8     1  1 28.552581  0.000633 19.987178
9     2  1 28.552158  0.002754 22.845692
19    2  1  0.002852  2.855990 22.843535
20    2  1  0.000672  2.859216 25.697142
30    2  1  0.001979  5.713713 25.695836
110   2  1  2.852123  0.002754 25.698777
119   1  1  2.845754  2.846834 22.852061
120   2  1  2.854280  2.855990 25.694963
1930  1  1 27.126227  7.139327 27.124707
210   1  1  5.710637  0.000633 25.698354
1920  2  1 27.130387  4.291182 27.120548
1919  2  1 27.124278  4.283334 24.270596
1910  2  1 27.116764  1.492764 27.134170
1909  2  1 27.136126  1.431860 24.271286
1908  1  1 27.126368  1.429003 21.414229
710   1  1 19.986458  0.001013 25.696576
720   1  1 19.989632  2.853344 25.699065
1830  1  1 24.270583  7.138401 27.124946
810   2  1 22.843515  0.010770 25.693719
819   2  1 22.843391  2.854417 22.842447
820   2  1 22.867686  2.830122 25.719404
830   1  1 22.844464  5.708176 25.699065
1820  2  1 24.271006  4.279887 27.122825
908   1  1 25.696937  0.000871 19.986252
909   2  1 25.692777  0.005031 22.834397
1819  2  1 24.267192  4.282044 24.269589
919   2  1 25.698886  2.854983 22.842245
920   2  1 25.687038  2.854293 25.693719
930   1  1 25.696795  5.711350 25.696576
1008  1  1  1.425580  1.426514 21.417403
1009  2  1  1.402358  1.406175 24.295457
1010  2  1  1.426529  1.431860 27.114809
1019  2  1  1.426653  4.283132 24.271162
1020  2  1  1.427219  4.283334 27.126657
1109  1  1  4.280412  1.426514 24.272234
1110  1  1  4.283586  1.429003 27.124566
1610  1  1 18.559407  1.427225 27.124946
1709  2  1 21.415764  1.430616 24.269589
1710  2  1 21.417921  1.426802 27.122825
1719  1  1 21.424290  4.273518 24.278745
1720  1  1 21.421648  4.276160 27.125113
1808  2  1 24.268065  1.429743 21.411866
1809  2  1 24.269371  1.428437 24.266363
1810  2  1 24.356717  1.341091 27.180616
109   1  1  2.848396  0.000466 22.849419
111   2  1  2.855570  2.854983 28.552049
821   1  1 22.845348  5.707564 28.551611
811   2  1 22.858966  2.838842 28.544510
711   1  1 19.990244  2.852460 28.551611
721   1  1 19.991324  5.706484 28.552323
921   1  1 25.698192  5.713223 28.552742
903   1  1 25.698192 28.552736  5.713230
71    1  1 28.552581 19.987171  0.000640
81    2  1 28.552158 22.845685  0.002760
82    2  1  0.002852 22.843528  2.855997
92    2  1  0.000672 25.697136  2.859223
93    2  1  0.001979 25.695829  5.713720
803   1  1 22.845348 28.551605  5.707571
802   2  1 22.858966 28.544503  2.838849
182   1  1  2.845754 22.852054  2.846841
191   2  1  2.852123 25.698770  0.002760
192   2  1  2.854280 25.694956  2.855997
703   1  1 19.991324 28.552316  5.706490
702   1  1 19.990244 28.551605  2.852467
291   1  1  5.710637 25.698347  0.000640
1982  2  1 27.124278 24.270589  4.283341
