Generated by pymatgen.io.lammps.data.LammpsData

161  atoms

  2  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847000
2  30.973762

Atoms

2     1  1  0.007503  0.009215  2.858782
3     1  1  0.002434  0.000947  5.712705
11    1  1  0.007503  2.858779  0.009219
12    1  1 28.539182  2.836016  2.836020
13    1  1 28.552469  2.854205  5.708673
21    1  1  0.002434  5.712701  0.000950
22    1  1 28.552469  5.708670  2.854208
1812  1  1 24.274337  4.272021  4.272024
101   1  1  2.860486  0.004515  0.004519
1811  1  1 24.275578  4.271781  1.422234
112   1  1  2.853770  2.852338  2.852341
1803  1  1 24.271583  1.426225  7.136710
1802  1  1 24.275578  1.422230  4.271785
1801  1  1 24.379366  1.318442  1.318446
1921  1  1 27.126135  7.138325  1.427276
1912  1  1 27.123374  4.273826  4.273829
1911  1  1 27.129204  4.281605  1.427300
1903  1  1 27.126135  1.427272  7.138328
1902  1  1 27.129204  1.427297  4.281608
1901  1  1 27.092297  1.369708  1.369711
1712  1  1 21.430003  4.267805  4.267809
712   1  1 19.994600  2.849470  2.849474
1711  1  1 21.425787  4.272021  1.423475
801   1  1 22.803549 -0.009350 -0.009347
812   1  1 22.877216  2.820592  2.820596
813   1  1 22.848338  2.849470  5.703212
1702  1  1 21.425787  1.423471  4.272024
822   1  1 22.848338  5.703208  2.849474
1701  1  1 21.426027  1.422230  1.422234
1821  1  1 24.271583  7.136707  1.426229
902   1  1 25.707158 -0.009350  2.894263
911   1  1 25.707158  2.894259 -0.009347
912   1  1 25.699267  2.833166  2.833170
913   1  1 25.698315  2.850807  5.705867
922   1  1 25.698315  5.705864  2.850811
923   1  1 25.697923  5.705250  5.705254
1001  1  1  1.425478  1.421807  1.421811
1002  1  1  1.429431  1.430421  4.283201
1011  1  1  1.429431  4.283198  1.430425
1012  1  1  1.421739  4.275454  4.275457
1101  1  1  4.285051  1.428934  1.428937
1601  1  1 18.561101  1.426225  1.426229
9     1  1 28.550426  0.002600 22.848155
19    1  1  0.002307  2.855010 22.844289
20    1  1  0.006925  2.864703 25.690887
30    1  1  0.003857  5.715668 25.693955
110   1  1  2.849656  0.002600 25.700505
120   1  1  2.853523  2.855010 25.695504
1930  1  1 27.126863  7.139994 27.124069
1920  1  1 27.133820  4.295534 27.117111
1919  1  1 27.125080  4.285372 24.268561
1910  1  1 27.130835  1.510815 27.120096
1909  1  1 27.132218  1.429873 24.273890
710   1  1 19.985107  0.000947 25.695378
720   1  1 19.989138  2.854205 25.698463
1830  1  1 24.270536  7.138325 27.124797
810   1  1 22.839029  0.009215 25.690309
819   1  1 22.845470  2.852338 22.844042
820   1  1 22.861792  2.836016 25.711750
830   1  1 22.843603  5.708670 25.698463
1820  1  1 24.270511  4.281605 27.121728
909   1  1 25.693293  0.004515 22.837326
1819  1  1 24.267387  4.283198 24.268381
919   1  1 25.698541  2.854520 22.842907
920   1  1 25.688593  2.858779 25.690309
930   1  1 25.696861  5.712701 25.695378
1009  1  1  1.401491  1.404506 24.296320
1010  1  1  1.423921  1.429873 27.118713
1019  1  1  1.429156  4.284969 24.268656
1020  1  1  1.429251  4.285372 27.125852
1610  1  1 18.559483  1.427272 27.124797
1709  1  1 21.414610  1.430421 24.268381
1710  1  1 21.416203  1.427297 27.121728
1719  1  1 21.422354  4.275454 24.276073
1720  1  1 21.423982  4.273826 27.127557
1808  1  1 24.268874  1.428934 21.412761
1809  1  1 24.276001  1.421807 24.272333
1810  1  1 24.328100  1.369708 27.158634
111   1  1  2.854904  2.854520 28.552390
821   1  1 22.847001  5.705864 28.552617
811   1  1 22.864642  2.833166 28.551665
711   1  1 19.991944  2.850807 28.552617
721   1  1 19.992558  5.705250 28.553009
921   1  1 25.699619  5.712905 28.551313
903   1  1 25.699619 28.551309  5.712909
81    1  1 28.550426 22.848152  0.002603
82    1  1  0.002307 22.844285  2.855013
92    1  1  0.006925 25.690883  2.864706
93    1  1  0.003857 25.693951  5.715671
803   1  1 22.847001 28.552613  5.705867
802   1  1 22.864642 28.551661  2.833170
191   1  1  2.849656 25.700502  0.002603
192   1  1  2.853523 25.695501  2.855013
703   1  1 19.992558 28.553005  5.705254
702   1  1 19.991944 28.552613  2.850811
1982  1  1 27.125080 24.268557  4.285376
1981  1  1 27.132218 24.273887  1.429876
1893  1  1 24.270536 27.124793  7.138328
102   1  1  2.854904 28.552387  2.854523
791   1  1 19.985107 25.695374  0.000950
792   1  1 19.989138 25.698459  2.854208
1892  1  1 24.270511 27.121724  4.281608
1891  1  1 24.328100 27.158631  1.369711
1993  1  1 27.126863 27.124065  7.139998
1992  1  1 27.133820 27.117108  4.295537
882   1  1 22.845470 22.844038  2.852341
891   1  1 22.839029 25.690305  0.009219
892   1  1 22.861792 25.711746  2.836020
893   1  1 22.843603 25.698459  5.708673
