,idav,idsps,type,iters,ntrans,emax,barrier,prefactor,ebias,dtot,dmag,dmax,dsum,adsum,nad,dtotfs,dmagfs,dmaxfs,dsumfs,adsumfs,nadfs,dtotfi,dmagfi,dmaxfi,dsumfi,adsumfi,nadfi,precursor,isConnect,reason
0,0,2,3,1441,198,1.129,0.378,10.0,0.086,8.855,1.689,0.876,0.843,7.932,43,4.891,0.929,0.486,0.636,4.318,45,8.97,1.947,1.052,0.416,8.031,31,1,0,Conn
1,1,1,2,1394,205,1.405,0.738,10.0,0.115,9.403,1.797,1.134,1.037,8.075,39,6.415,1.259,0.727,0.773,5.636,43,12.267,2.608,1.712,1.436,10.984,33,1,0,Conn
2,2,0,1,1238,227,1.989,0.732,10.0,0.087,7.976,1.469,0.873,0.911,6.836,44,6.579,1.277,0.74,0.718,5.784,43,9.103,1.694,0.953,1.217,8.116,48,1,0,Conn
3,3,0,1,809,119,2.785,0.329,10.0,0.086,5.394,1.015,0.533,0.803,4.777,48,4.279,0.846,0.446,0.629,3.759,40,9.109,1.699,0.952,1.279,8.127,49,1,1,Dup
4,5,2,3,729,130,0.992,0.727,10.0,0.117,7.859,1.455,0.859,0.813,6.699,41,6.285,1.257,0.734,0.358,5.523,39,9.011,1.686,0.949,0.878,8.003,46,1,0,Conn
5,6,2,3,1077,155,2.862,0.368,10.0,0.075,8.9,1.684,0.879,0.724,7.986,44,4.929,0.923,0.486,0.692,4.363,49,9.058,1.948,1.048,0.265,8.093,30,1,0,Conn
6,6,0,1,709,105,1.623,0.343,10.0,0.086,5.216,1.009,0.531,0.735,4.621,43,4.418,0.828,0.435,0.617,3.877,49,9.074,1.687,0.937,1.314,8.095,51,1,1,Dup
7,0,3,4,493,93,0.497,0.441,10.0,0.025,7.772,1.285,0.632,0.067,6.903,58,6.599,1.072,0.52,0.056,5.999,56,10.169,1.972,1.049,0.029,9.076,35,0,0,Conn
8,0,6,7,235,49,0.337,0.32,10.0,0.031,5.797,0.988,0.515,0.496,5.157,52,5.562,0.918,0.475,0.681,4.937,56,10.522,1.731,0.96,1.045,9.433,53,0,1,DupAV
9,0,9,10,217,45,0.332,0.32,10.0,0.031,5.794,0.988,0.515,0.534,5.154,52,5.553,0.917,0.475,0.649,4.928,56,10.525,1.731,0.96,1.042,9.437,53,0,1,DupAV
