,idav,idsps,barrier,prefactor,ebias,dmag,dmax,dsum,dsumr,dmagfi,dmaxfi,dsumfi,dsumrfi,isConnect,probability,isSel
0,0,0,0.320,10.000,0.034,0.989,0.516,0.564,0.110,1.728,0.959,1.099,0.118,1,12.484,0
1,0,1,0.320,10.000,0.034,0.989,0.516,0.551,0.108,1.728,0.959,1.095,0.118,1,12.484,0
2,0,2,0.320,10.000,0.034,0.989,0.516,0.564,0.110,1.728,0.959,1.099,0.118,1,12.484,0
3,0,4,0.320,10.000,0.034,0.989,0.516,0.551,0.108,1.728,0.959,1.095,0.118,1,12.484,0
4,0,6,0.320,10.000,0.031,0.988,0.515,0.515,0.100,1.730,0.960,1.093,0.117,1,12.484,0
5,0,7,0.439,10.000,0.439,1.120,0.526,0.014,0.002,1.167,0.551,0.015,0.002,1,0.125,0
6,0,8,0.320,10.000,0.031,0.988,0.515,0.529,0.103,1.730,0.960,1.097,0.117,1,12.484,1
7,0,10,0.320,10.000,0.031,0.988,0.515,0.529,0.103,1.730,0.960,1.097,0.117,1,12.484,0
8,0,11,0.320,10.000,0.031,0.988,0.515,0.515,0.100,1.730,0.960,1.093,0.117,1,12.484,0
9,1,0,0.645,10.000,0.552,0.863,0.804,0.567,0.215,1.213,1.162,1.007,0.334,1,0.000,0
10,1,1,0.645,10.000,0.552,0.863,0.804,0.569,0.216,1.213,1.162,1.009,0.335,1,0.000,0
11,1,2,0.645,10.000,0.553,0.863,0.804,0.569,0.216,1.213,1.162,1.009,0.335,1,0.000,0
