,idav,idsps,type,iters,ntrans,emax,barrier,prefactor,ebias,dtot,dmag,dmax,dsum,adsum,nad,dtotfs,dmagfs,dmaxfs,dsumfs,adsumfs,nadfs,dtotfi,dmagfi,dmaxfi,dsumfi,adsumfi,nadfi,precursor,isConnect
0,0,0,1,221,46,0.343,0.32,10.0,0.034,5.753,0.989,0.516,0.564,5.118,52,5.454,0.913,0.472,0.659,4.835,57,10.386,1.728,0.959,1.099,9.31,53,0,1
1,0,1,2,262,53,0.416,0.32,10.0,0.034,5.755,0.989,0.516,0.551,5.12,52,5.453,0.913,0.472,0.665,4.834,57,10.381,1.728,0.959,1.095,9.306,53,0,1
2,0,2,3,241,49,0.371,0.32,10.0,0.034,5.753,0.989,0.516,0.564,5.117,52,5.455,0.913,0.472,0.659,4.835,57,10.386,1.728,0.959,1.099,9.31,53,0,1
3,0,4,5,231,49,0.331,0.32,10.0,0.034,5.755,0.989,0.516,0.551,5.12,52,5.453,0.913,0.472,0.665,4.834,57,10.381,1.728,0.959,1.095,9.306,53,0,1
4,0,6,7,262,53,0.416,0.32,10.0,0.031,5.758,0.988,0.515,0.515,5.126,50,5.513,0.916,0.474,0.715,4.896,56,10.45,1.73,0.96,1.093,9.371,54,0,1
5,0,7,8,445,95,0.482,0.439,10.0,0.439,6.887,1.12,0.526,0.014,6.237,56,0.381,0.058,0.026,0.002,0.331,8,7.153,1.167,0.551,0.015,6.447,56,0,1
6,0,8,9,331,60,0.436,0.32,10.0,0.031,5.756,0.988,0.515,0.529,5.124,51,5.515,0.916,0.474,0.71,4.897,56,10.455,1.73,0.96,1.097,9.375,53,0,1
7,0,10,11,331,60,0.436,0.32,10.0,0.031,5.756,0.988,0.515,0.529,5.124,51,5.515,0.916,0.474,0.71,4.897,56,10.455,1.73,0.96,1.097,9.375,53,0,1
8,0,11,12,235,49,0.337,0.32,10.0,0.031,5.758,0.988,0.515,0.515,5.126,50,5.513,0.916,0.474,0.715,4.896,56,10.45,1.73,0.96,1.093,9.371,54,0,1
9,1,0,1,70,16,0.647,0.645,10.0,0.552,2.832,0.863,0.804,0.567,2.639,18,1.374,0.396,0.358,0.44,1.314,12,3.196,1.213,1.162,1.007,3.012,10,0,1
10,1,1,2,69,16,0.647,0.645,10.0,0.552,2.831,0.863,0.804,0.569,2.638,18,1.374,0.396,0.358,0.44,1.314,12,3.195,1.213,1.162,1.009,3.011,10,0,1
11,1,2,3,72,17,0.647,0.645,10.0,0.553,2.832,0.863,0.804,0.569,2.639,18,1.374,0.396,0.358,0.44,1.314,12,3.195,1.213,1.162,1.009,3.012,10,0,1
