Generated by pymatgen.io.lammps.data.LammpsData

167  atoms

  2  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847000
2  30.973762

Atoms

1     1  1 28.499483 28.499483 28.499483
2     1  1 -0.001327 -0.001327  2.849668
3     1  1 -0.000764 -0.000764  5.709204
8     1  1  0.003272  0.003272 19.982489
9     1  1  0.005994  0.005994 22.833063
10    1  1 28.456754 28.456754 25.750975
11    1  1 -0.001327  2.849668 -0.001327
12    1  1 28.547530  2.845079  2.845079
19    1  1 28.555124  2.852906 22.843062
20    1  1 -0.003154  2.848876 25.695062
21    1  1 -0.000764  5.709204 -0.000764
30    1  1 -0.000774  5.709936 25.697513
71    1  1  0.003272 19.982489  0.003272
80    1  1  0.001540 19.985072 25.696137
81    1  1  0.005994 22.833063  0.005994
82    1  1 28.555124 22.843062  2.852906
89    1  1 28.538126 22.860613 22.860613
90    1  1  0.006250 22.838340 25.687459
91    1  1 28.456754 25.750975 28.456754
92    1  1 -0.003154 25.695062  2.848876
93    1  1 -0.000774 25.697513  5.709936
98    1  1  0.001540 25.696137 19.985072
99    1  1  0.006250 25.687459 22.838340
100   1  1 28.576367 25.716976 25.716976
101   1  1  2.849668 -0.001327 -0.001327
102   1  1  2.845079 28.547530  2.845079
109   1  1  2.852906 28.555124 22.843062
110   1  1  2.848876 -0.003154 25.695062
111   1  1  2.845079  2.845079 28.547530
112   1  1  2.845045  2.845045  2.845045
119   1  1  2.845507  2.845507 22.852434
120   1  1  2.847369  2.847369 25.698198
181   1  1  2.852906 22.843062 28.555124
182   1  1  2.845507 22.852434  2.845507
189   1  1  2.852735 22.845252 22.845252
190   1  1  2.853915 22.843375 25.698344
191   1  1  2.848876 25.695062 -0.003154
192   1  1  2.847369 25.698198  2.847369
199   1  1  2.853915 25.698344 22.843375
200   1  1  2.859599 25.693035 25.693035
201   1  1  5.709204 -0.000764 -0.000764
210   1  1  5.709936 -0.000774 25.697513
291   1  1  5.709936 25.697513 -0.000774
300   1  1  5.710780 25.697212 25.697212
701   1  1 19.982489  0.003272  0.003272
710   1  1 19.985072  0.001540 25.696137
791   1  1 19.985072 25.696137  0.001540
800   1  1 19.984310 25.698211 25.698211
801   1  1 22.833063  0.005994  0.005994
802   1  1 22.843062 28.555124  2.852906
809   1  1 22.860613 28.538126 22.860613
810   1  1 22.838340  0.006250 25.687459
811   1  1 22.843062  2.852906 28.555124
812   1  1 22.852434  2.845507  2.845507
819   1  1 22.845252  2.852735 22.845252
820   1  1 22.843375  2.853915 25.698344
881   1  1 22.860613 22.860613 28.538126
882   1  1 22.845252 22.845252  2.852735
890   1  1 22.862440 22.862440 25.697144
891   1  1 22.838340 25.687459  0.006250
892   1  1 22.843375 25.698344  2.853915
899   1  1 22.862440 25.697144 22.862440
900   1  1 22.800913 25.705069 25.705069
901   1  1 25.750975 28.456754 28.456754
902   1  1 25.695062 -0.003154  2.848876
903   1  1 25.697513 -0.000774  5.709936
908   1  1 25.696137  0.001540 19.985072
909   1  1 25.687459  0.006250 22.838340
910   1  1 25.716976 28.576367 25.716976
911   1  1 25.695062  2.848876 -0.003154
912   1  1 25.698198  2.847369  2.847369
919   1  1 25.698344  2.853915 22.843375
920   1  1 25.693035  2.859599 25.693035
921   1  1 25.697513  5.709936 -0.000774
930   1  1 25.697212  5.710780 25.697212
971   1  1 25.696137 19.985072  0.001540
980   1  1 25.698211 19.984310 25.698211
981   1  1 25.687459 22.838340  0.006250
982   1  1 25.698344 22.843375  2.853915
989   1  1 25.697144 22.862440 22.862440
990   1  1 25.705069 22.800913 25.705069
991   1  1 25.716976 25.716976 28.576367
992   1  1 25.693035 25.693035  2.859599
993   1  1 25.697212 25.697212  5.710780
998   1  1 25.698211 25.698211 19.984310
999   1  1 25.705069 25.705069 22.800913
1000  1  1 26.200856 26.200856 26.200856
1001  1  1  1.404966  1.404966  1.404966
1002  1  1  1.424440  1.424440  4.278156
1008  1  1  1.428750  1.428750 21.413252
1009  1  1  1.400835  1.400835 24.293379
1010  1  1  1.406700  1.406700 27.114721
1011  1  1  1.424440  4.278156  1.424440
1019  1  1  1.424894  4.279415 24.272330
1020  1  1  1.423407  4.278263 27.123694
1071  1  1  1.428750 21.413252  1.428750
1079  1  1  1.428537 21.414272 24.266771
1080  1  1  1.428437 21.412560 27.124641
1081  1  1  1.400835 24.293379  1.400835
1082  1  1  1.424894 24.272330  4.279415
1088  1  1  1.428537 24.266771 21.414272
1089  1  1  1.424412 24.275266 24.275266
1090  1  1  1.422866 24.267608 27.131697
1091  1  1  1.406700 27.114721  1.406700
1092  1  1  1.423407 27.123694  4.278263
1098  1  1  1.428437 27.124641 21.412560
1099  1  1  1.422866 27.131697 24.267608
1100  1  1  1.464520 27.122312 27.122312
1101  1  1  4.278156  1.424440  1.424440
