Generated by pymatgen.io.lammps.data.LammpsData

226  atoms

  2  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847000
2  30.973762

Atoms

1     2  1 28.507735 28.507735 28.507735
2     1  1  0.001283  0.001283  2.853291
3     1  1 28.552420 28.552420  5.709758
8     2  1  0.001821  0.001821 19.983937
9     2  1  0.000514  0.000514 22.838434
10    2  1 28.466289 28.466289 25.752687
11    1  1  0.001283  2.853291  0.001283
12    1  1 28.548468  2.846910  2.846910
19    2  1  0.002694  2.854122 22.841659
20    2  1 28.552000  2.851965 25.694896
21    1  1 28.552420  5.709758 28.552420
30    1  1 28.552423  5.710478 25.697017
71    2  1  0.001821 19.983937  0.001821
79    1  1 28.551711 19.989474 22.844305
80    1  1  0.001081 19.986300 25.696637
81    2  1  0.000514 22.838434  0.000514
82    2  1  0.002694 22.841659  2.854122
88    1  1 28.551711 22.844305 19.989474
89    2  1 28.531372 22.867528 22.867528
90    2  1  0.003938 22.843357 25.686880
91    2  1 28.466289 25.752687 28.466289
92    2  1 28.552000 25.694896  2.851965
93    1  1 28.552423 25.697017  5.710478
98    1  1  0.001081 25.696637 19.986300
99    2  1  0.003938 25.686880 22.843357
100   2  1  0.064841 25.706241 25.706241
101   1  1  2.853291  0.001283  0.001283
102   1  1  2.846910 28.548468  2.846910
109   2  1  2.854122  0.002694 22.841659
110   2  1  2.851965 28.552000 25.694896
111   1  1  2.846910  2.846910 28.548468
112   1  1  2.846218  2.846218  2.846218
119   1  1  2.845596  2.845596 22.850816
120   1  1  2.848238  2.848238 25.697184
181   2  1  2.854122 22.841659  0.002694
182   1  1  2.845596 22.850816  2.845596
189   2  1  2.855210 22.843233 22.843233
190   2  1  2.855412 22.842667 25.698727
191   2  1  2.851965 25.694896 28.552000
192   1  1  2.848238 25.697184  2.848238
199   2  1  2.855412 25.698727 22.842667
200   2  1  2.863260 25.692619 25.692619
201   1  1  5.709758 28.552420 28.552420
210   1  1  5.710478 28.552423 25.697017
291   1  1  5.710478 25.697017 28.552423
300   1  1  5.711405 25.696778 25.696778
701   2  1 19.983937  0.001821  0.001821
709   1  1 19.989474 28.551711 22.844305
710   1  1 19.986300  0.001081 25.696637
779   1  1 19.991558 19.991558 22.845076
780   1  1 19.991166 19.991166 25.698454
781   1  1 19.989474 22.844305 28.551711
788   1  1 19.991558 22.845076 19.991558
789   1  1 19.990078 22.844287 22.844287
790   1  1 19.990086 22.845190 25.699165
791   1  1 19.986300 25.696637  0.001081
798   1  1 19.991166 25.698454 19.991166
799   1  1 19.990086 25.699165 22.845190
800   1  1 19.984427 25.698034 25.698034
801   2  1 22.838434  0.000514  0.000514
802   2  1 22.841659  0.002694  2.854122
808   1  1 22.844305 28.551711 19.989474
809   2  1 22.867528 28.531372 22.867528
810   2  1 22.843357  0.003938 25.686880
811   2  1 22.841659  2.854122  0.002694
812   1  1 22.850816  2.845596  2.845596
819   2  1 22.843233  2.855210 22.843233
820   2  1 22.842667  2.855412 25.698727
871   1  1 22.844305 19.989474 28.551711
878   1  1 22.845076 19.991558 19.991558
879   1  1 22.844287 19.990078 22.844287
880   1  1 22.845190 19.990086 25.699165
881   2  1 22.867528 22.867528 28.531372
882   2  1 22.843233 22.843233  2.855210
888   1  1 22.844287 22.844287 19.990078
889   1  1 22.861382 22.861382 22.861382
890   2  1 22.858807 22.858807 25.706267
891   2  1 22.843357 25.686880  0.003938
892   2  1 22.842667 25.698727  2.855412
898   1  1 22.845190 25.699165 19.990086
899   2  1 22.858807 25.706267 22.858807
900   2  1 22.797737 25.695869 25.695869
901   2  1 25.752687 28.466289 28.466289
902   2  1 25.694896 28.552000  2.851965
903   1  1 25.697017 28.552423  5.710478
908   1  1 25.696637  0.001081 19.986300
909   2  1 25.686880  0.003938 22.843357
910   2  1 25.706241  0.064841 25.706241
911   2  1 25.694896  2.851965 28.552000
912   1  1 25.697184  2.848238  2.848238
919   2  1 25.698727  2.855412 22.842667
920   2  1 25.692619  2.863260 25.692619
921   1  1 25.697017  5.710478 28.552423
930   1  1 25.696778  5.711405 25.696778
971   1  1 25.696637 19.986300  0.001081
978   1  1 25.698454 19.991166 19.991166
979   1  1 25.699165 19.990086 22.845190
980   1  1 25.698034 19.984427 25.698034
981   2  1 25.686880 22.843357  0.003938
982   2  1 25.698727 22.842667  2.855412
988   1  1 25.699165 22.845190 19.990086
989   2  1 25.706267 22.858807 22.858807
990   2  1 25.695869 22.797737 25.695869
991   2  1 25.706241 25.706241  0.064841
992   2  1 25.692619 25.692619  2.863260
993   1  1 25.696778 25.696778  5.711405
998   1  1 25.698034 25.698034 19.984427
999   2  1 25.695869 25.695869 22.797737
1000  2  1 26.411424 26.411424 26.411424
1001  1  1  1.408346  1.408346  1.408346
1002  1  1  1.425440  1.425440  4.279650
