Generated by pymatgen.io.lammps.data.LammpsData

161  atoms

  2  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847000
2  30.973762

Atoms

1     1  1 28.536702 28.536702 28.536702
2     1  1 -0.001581 -0.001581  2.853485
3     1  1 28.552218 28.552218  5.709914
8     1  1 -0.000472 -0.000472 19.987368
9     1  1 -0.015611 -0.015611 22.857567
10    1  1 28.546349 28.546349 25.697401
11    1  1 -0.001581  2.853485 -0.001581
12    1  1 28.551612  2.852333  2.852333
19    1  1 -0.001037  2.854023 22.842577
20    1  1 28.551802  2.854088 25.697246
21    1  1 28.552218  5.709914 28.552218
30    1  1 28.552397  5.710238 25.697245
71    1  1 -0.000472 19.987368 -0.000472
81    1  1 -0.015611 22.857567 -0.015611
82    1  1 -0.001037 22.842577  2.854023
89    1  1 28.537917 22.858770 22.858770
90    1  1 -0.006000 22.848802 25.698122
91    1  1 28.546349 25.697401 28.546349
92    1  1 28.551802 25.697246  2.854088
93    1  1 28.552397 25.697245  5.710238
99    1  1 -0.006000 25.698122 22.848802
100   1  1  0.039173 25.697678 25.697678
101   1  1  2.853485 -0.001581 -0.001581
102   1  1  2.852333 28.551612  2.852333
109   1  1  2.854023 -0.001037 22.842577
110   1  1  2.854088 28.551802 25.697246
111   1  1  2.852333  2.852333 28.551612
112   1  1  2.851248  2.851248  2.851248
119   1  1  2.852663  2.852663 22.842667
120   1  1  2.852539  2.852539 25.697246
181   1  1  2.854023 22.842577 -0.001037
182   1  1  2.852663 22.842667  2.852663
189   1  1  2.854568 22.843185 22.843185
190   1  1  2.854705 22.842749 25.697655
191   1  1  2.854088 25.697246 28.551802
192   1  1  2.852539 25.697246  2.852539
199   1  1  2.854705 25.697655 22.842749
200   1  1  2.857794 25.697405 25.697405
201   1  1  5.709914 28.552218 28.552218
210   1  1  5.710238 28.552397 25.697245
291   1  1  5.710238 25.697245 28.552397
300   1  1  5.710910 25.697294 25.697294
701   1  1 19.987368 -0.000472 -0.000472
801   1  1 22.857567 -0.015611 -0.015611
802   1  1 22.842577 -0.001037  2.854023
809   1  1 22.858770 28.537917 22.858770
810   1  1 22.848802 -0.006000 25.698122
811   1  1 22.842577  2.854023 -0.001037
812   1  1 22.842667  2.852663  2.852663
819   1  1 22.843185  2.854568 22.843185
820   1  1 22.842749  2.854705 25.697655
881   1  1 22.858770 22.858770 28.537917
882   1  1 22.843185 22.843185  2.854568
890   1  1 22.850058 22.850058 25.698800
891   1  1 22.848802 25.698122 -0.006000
892   1  1 22.842749 25.697655  2.854705
899   1  1 22.850058 25.698800 22.850058
900   1  1 22.803878 25.698588 25.698588
901   1  1 25.697401 28.546349 28.546349
902   1  1 25.697246 28.551802  2.854088
903   1  1 25.697245 28.552397  5.710238
909   1  1 25.698122 -0.006000 22.848802
910   1  1 25.697678  0.039173 25.697678
911   1  1 25.697246  2.854088 28.551802
912   1  1 25.697246  2.852539  2.852539
919   1  1 25.697655  2.854705 22.842749
920   1  1 25.697405  2.857794 25.697405
921   1  1 25.697245  5.710238 28.552397
930   1  1 25.697294  5.710910 25.697294
981   1  1 25.698122 22.848802 -0.006000
982   1  1 25.697655 22.842749  2.854705
989   1  1 25.698800 22.850058 22.850058
990   1  1 25.698588 22.803878 25.698588
991   1  1 25.697678 25.697678  0.039173
992   1  1 25.697405 25.697405  2.857794
993   1  1 25.697294 25.697294  5.710910
999   1  1 25.698588 25.698588 22.803878
1000  1  1 27.083943 27.083943 27.083943
1001  1  1  1.420310  1.420310  1.420310
1002  1  1  1.425707  1.425707  4.280854
1008  1  1  1.421272  1.421272 21.420216
1009  1  1  1.423668  1.423668 24.269982
1010  1  1  1.423430  1.423430 27.124432
1011  1  1  1.425707  4.280854  1.425707
1019  1  1  1.426304  4.281610 24.269889
1020  1  1  1.426139  4.281463 27.124551
1071  1  1  1.421272 21.420216  1.421272
1079  1  1  1.424593 21.418167 24.270715
1080  1  1  1.424450 21.417597 27.125183
1081  1  1  1.423668 24.269982  1.423668
1082  1  1  1.426304 24.269889  4.281610
1088  1  1  1.424593 24.270715 21.418167
1089  1  1  1.428010 24.268514 24.268514
1090  1  1  1.427660 24.268106 27.126898
1091  1  1  1.423430 27.124432  1.423430
1092  1  1  1.426139 27.124551  4.281463
1098  1  1  1.424450 27.125183 21.417597
1099  1  1  1.427660 27.126898 24.268106
1100  1  1  1.427293 27.126555 27.126555
1101  1  1  4.280854  1.425707  1.425707
1109  1  1  4.281610  1.426304 24.269889
1110  1  1  4.281463  1.426139 27.124551
1120  1  1  4.280807  4.280807 27.124641
1181  1  1  4.281610 24.269889  1.426304
1189  1  1  4.283458 24.269646 24.269646
1190  1  1  4.283137 24.269474 27.125156
1191  1  1  4.281463 27.124551  1.426139
1192  1  1  4.280807 27.124641  4.280807
1199  1  1  4.283137 27.125156 24.269474
