Generated by pymatgen.io.lammps.data.LammpsData

1999  atoms

   2  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847000
2  30.973762

Atoms

1     0  1 28.536817 28.536817 28.536817
2     0  1 28.551754 28.551754  2.853575
3     0  1 28.552440 28.552440  5.709913
4     0  1 28.552568 28.552568  8.565389
5     0  1 28.552603 28.552603 11.420751
6     0  1 28.552568 28.552568 14.276113
7     0  1 28.552440 28.552440 17.131589
8     0  1 28.551754 28.551754 19.987928
9     0  1 28.536817 28.536817 22.857806
10    0  1 28.546071 28.546071 25.697311
11    0  1 28.551754  2.853575 28.551754
12    0  1 28.551916  2.852699  2.852699
13    0  1 28.552319  2.854172  5.709380
14    0  1 28.552524  2.854636  8.565226
15    0  1 28.552574  2.854738 11.420751
16    0  1 28.552524  2.854636 14.276276
17    0  1 28.552319  2.854172 17.132122
18    0  1 28.551916  2.852699 19.988804
19    0  1 28.551754  2.853575 22.842868
20    0  1 28.551810  2.853899 25.697311
21    0  1 28.552440  5.709913 28.552440
22    0  1 28.552319  5.709380  2.854172
23    0  1 28.552398  5.709366  5.709366
24    0  1 28.552516  5.709812  8.565114
25    0  1 28.552555  5.709964 11.420751
26    0  1 28.552516  5.709812 14.276389
27    0  1 28.552398  5.709366 17.132137
28    0  1 28.552319  5.709380 19.987331
29    0  1 28.552440  5.709913 22.842183
30    0  1 28.552489  5.710033 25.697311
31    0  1 28.552568  8.565389 28.552568
32    0  1 28.552524  8.565226  2.854636
33    0  1 28.552516  8.565114  5.709812
34    0  1 28.552536  8.565184  8.565184
35    0  1 28.552550  8.565275 11.420751
36    0  1 28.552536  8.565184 14.276318
37    0  1 28.552516  8.565114 17.131691
38    0  1 28.552524  8.565226 19.986867
39    0  1 28.552568  8.565389 22.842054
40    0  1 28.552593  8.565440 25.697311
41    0  1 28.552603 11.420751 28.552603
42    0  1 28.552574 11.420751  2.854738
43    0  1 28.552555 11.420751  5.709964
44    0  1 28.552550 11.420751  8.565275
45    0  1 28.552551 11.420751 11.420751
46    0  1 28.552550 11.420751 14.276228
47    0  1 28.552555 11.420751 17.131538
48    0  1 28.552574 11.420751 19.986765
49    0  1 28.552603 11.420751 22.842020
50    0  1 28.552619 11.420751 25.697311
51    0  1 28.552568 14.276113 28.552568
52    0  1 28.552524 14.276276  2.854636
53    0  1 28.552516 14.276389  5.709812
54    0  1 28.552536 14.276318  8.565184
55    0  1 28.552550 14.276228 11.420751
56    0  1 28.552536 14.276318 14.276318
57    0  1 28.552516 14.276389 17.131691
58    0  1 28.552524 14.276276 19.986867
59    0  1 28.552568 14.276113 22.842054
60    0  1 28.552593 14.276063 25.697311
61    0  1 28.552440 17.131589 28.552440
62    0  1 28.552319 17.132122  2.854172
63    0  1 28.552398 17.132137  5.709366
64    0  1 28.552516 17.131691  8.565114
65    0  1 28.552555 17.131538 11.420751
66    0  1 28.552516 17.131691 14.276389
67    0  1 28.552398 17.132137 17.132137
68    0  1 28.552319 17.132122 19.987331
69    0  1 28.552440 17.131589 22.842183
70    0  1 28.552489 17.131469 25.697311
71    0  1 28.551754 19.987928 28.551754
72    0  1 28.551916 19.988804  2.852699
73    0  1 28.552319 19.987331  5.709380
74    0  1 28.552524 19.986867  8.565226
75    0  1 28.552574 19.986765 11.420751
76    0  1 28.552524 19.986867 14.276276
77    0  1 28.552319 19.987331 17.132122
78    0  1 28.551915 19.988804 19.988804
79    0  1 28.551754 19.987928 22.842868
80    0  1 28.551810 19.987604 25.697311
81    0  1 28.536817 22.857806 28.536817
82    0  1 28.551754 22.842868  2.853575
83    0  1 28.552440 22.842183  5.709913
84    0  1 28.552568 22.842054  8.565389
85    0  1 28.552603 22.842020 11.420751
86    0  1 28.552568 22.842054 14.276113
87    0  1 28.552440 22.842183 17.131589
88    0  1 28.551754 22.842868 19.987928
89    0  1 28.536817 22.857806 22.857806
90    0  1 28.546071 22.848552 25.697311
91    0  1 28.546071 25.697311 28.546071
92    0  1 28.551810 25.697311  2.853899
93    0  1 28.552489 25.697311  5.710033
94    0  1 28.552593 25.697311  8.565440
95    0  1 28.552619 25.697311 11.420751
96    0  1 28.552593 25.697311 14.276063
97    0  1 28.552489 25.697311 17.131469
98    0  1 28.551810 25.697311 19.987604
99    0  1 28.546071 25.697311 22.848552
100   0  1  0.038450 25.697311 25.697311
101   0  1  2.853575 28.551754 28.551754
102   0  1  2.852699 28.551916  2.852699
103   0  1  2.854172 28.552319  5.709380
104   0  1  2.854636 28.552524  8.565226
105   0  1  2.854738 28.552574 11.420751
106   0  1  2.854636 28.552524 14.276276
107   0  1  2.854172 28.552319 17.132122
108   0  1  2.852699 28.551916 19.988804
109   0  1  2.853575 28.551754 22.842868
110   0  1  2.853899 28.551810 25.697311
111   0  1  2.852699  2.852699 28.551916
