Generated by pymatgen.io.lammps.data.LammpsData

168  atoms

  2  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847000
2  30.973762

Atoms

1     1  1 28.544638 28.617628 28.544638
2     1  1  0.011238  0.003470  2.854433
3     1  1  0.001441  0.000690  5.711245
8     1  1  0.000142 -0.000134 19.987138
9     1  1  0.002317 -0.000695 22.845719
10    1  1 28.497872 28.466258 25.784670
11    1  1  0.004761  2.862957  0.004761
12    1  1 28.551952  2.854888  2.854631
19    1  1 28.553134  2.848797 22.849011
20    1  1  0.002317  2.852089 25.698503
21    1  1  0.000458  5.711232  0.000458
30    1  1  0.000142  5.710670 25.697942
71    1  1  0.000365 19.984406  0.000365
80    1  1  0.001441 19.986563 25.697118
81    1  1  0.002737 22.797287  0.002737
82    1  1 28.545627 22.857676  2.840132
89    1  1 28.551952 22.843177 22.842920
90    1  1  0.011238 22.843375 25.694338
91    1  1 27.839802 26.411126 27.839802
92    1  1  0.002737 25.695071  2.900521
93    1  1  0.000365 25.697443  5.713402
98    1  1  0.000458 25.697350 19.986576
99    1  1  0.004761 25.693047 22.834851
100   1  1 28.544638 25.706290 25.633300
101   1  1  2.854433  0.003470  0.011238
102   1  1  2.831032 28.531203  2.831032
109   1  1  2.855444 28.555990 22.843820
110   1  1  2.858938  0.000358 25.697450
111   1  1  2.854631  2.854888 28.551952
112   1  1  2.854438  2.854464  2.854438
119   1  1  2.846321  2.845915 22.851893
120   1  1  2.855444  2.853988 25.694938
181   1  1  2.840132 22.857676 28.545627
182   1  1  2.838061 22.859747  2.838061
189   1  1  2.854438 22.843370 22.843344
190   1  1  2.831032 22.866776 25.719725
191   1  1  2.900521 25.695071  0.002737
192   1  1  2.840132 25.705301  2.840132
199   1  1  2.854631 25.698976 22.842920
200   1  1  2.854433 25.686570 25.694338
201   1  1  5.711245  0.000690  0.001441
210   1  1  5.713253  0.001598 25.696210
291   1  1  5.713402 25.697443  0.000365
300   1  1  5.711245 25.696367 25.697118
701   1  1 19.987138 -0.000134  0.000142
710   1  1 19.987575  0.000006 25.697802
791   1  1 19.986576 25.697350  0.000458
800   1  1 19.987138 25.697666 25.697942
801   1  1 22.845719 -0.000695  0.002317
802   1  1 22.843820 28.555990  2.855444
809   1  1 22.850072 28.549309 22.850072
810   1  1 22.844022  0.001962 25.695846
811   1  1 22.849011  2.848797 28.553134
812   1  1 22.851893  2.845915  2.846321
819   1  1 22.850557  2.847251 22.850557
820   1  1 22.850072  2.847736 25.701619
881   1  1 22.842920 22.843177 28.551952
882   1  1 22.843344 22.843370  2.854438
889   1  1 22.851893 22.851487 22.851893
890   1  1 22.843820 22.842364 25.694938
891   1  1 22.834851 25.693047  0.004761
892   1  1 22.842920 25.698976  2.854631
899   1  1 22.849011 25.697794 22.849011
900   1  1 22.845719 25.695491 25.698503
901   1  1 25.784670 28.466258 28.497872
902   1  1 25.697450  0.000358  2.858938
903   1  1 25.696210  0.001598  5.713253
908   1  1 25.697802  0.000006 19.987575
909   1  1 25.695846  0.001962 22.844022
910   1  1 25.742541 28.508387 25.742541
911   1  1 25.698503  2.852089  0.002317
912   1  1 25.694938  2.853988  2.855444
919   1  1 25.701619  2.847736 22.850072
920   1  1 25.695846  2.853786 25.695846
921   1  1 25.697942  5.710670  0.000142
930   1  1 25.697802  5.710233 25.697802
971   1  1 25.697118 19.986563  0.001441
980   1  1 25.696210 19.984555 25.696210
981   1  1 25.694338 22.843375  0.011238
982   1  1 25.719725 22.866776  2.831032
989   1  1 25.694938 22.842364 22.843820
990   1  1 25.697450 22.838870 25.697450
991   1  1 25.633300 25.706290 28.544638
992   1  1 25.694338 25.686570  2.854433
993   1  1 25.697118 25.696367  5.711245
998   1  1 25.697942 25.697666 19.987138
999   1  1 25.698503 25.695491 22.845719
1000  1  1 25.784670 25.753056 25.784670
1001  1  1  1.428546  1.430719  1.428546
1002  1  1  1.430929  1.427650  4.282174
1008  1  1  1.426029  1.425880 21.417310
1009  1  1  1.405724  1.402380 24.295428
1010  1  1  1.431598  1.426099 27.114837
1011  1  1  1.429380  4.285182  1.429380
1019  1  1  1.426029  4.280498 24.271928
1020  1  1  1.428517  4.283257 27.124310
1071  1  1  1.430476 21.415569  1.430476
1079  1  1  1.430929 21.415634 24.270158
1080  1  1  1.427704 21.417463 27.123509
1081  1  1  1.383945 24.313863  1.383945
1082  1  1  1.430476 24.267332  4.282239
1088  1  1  1.429380 24.268428 21.412626
1089  1  1  1.428546 24.269262 24.267089
1090  1  1  1.341753 24.356055 27.181355
1091  1  1  1.341753 27.069573  1.341753
1092  1  1  1.427704 27.127419  4.280345
1098  1  1  1.428517 27.126618 21.414551
1099  1  1  1.431598 27.136091 24.271709
1100  1  1  1.493035 27.116216 27.134712
1101  1  1  4.282174  1.427650  1.430929
