Generated by pymatgen.io.lammps.data.LammpsData

168  atoms

  2  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847000
2  30.973762

Atoms

1     1  1 28.534009 28.575659 28.534009
2     1  1  0.011060  0.005280  2.859116
3     1  1  0.001648  0.001038  5.711755
8     1  1 -0.000136 -0.000155 19.987499
9     1  1  0.001820 -0.002212 22.848401
10    1  1 28.499287 28.456913 25.794015
11    1  1  0.004198  2.859134  0.004198
12    1  1 28.552355  2.853083  2.853321
19    1  1 28.552142  2.848970 22.848838
20    1  1  0.001820  2.849407 25.700020
21    1  1  0.000176  5.710749  0.000176
30    1  1 -0.000136  5.710309 25.697963
71    1  1  0.000497 19.985139  0.000497
80    1  1  0.001648 19.986053 25.696770
81    1  1 -0.005111 22.799963 -0.005111
82    1  1 28.554975 22.858417  2.839391
89    1  1 28.552355 22.844487 22.844725
90    1  1  0.011060 22.838692 25.692528
91    1  1 28.050233 26.200695 28.050233
92    1  1 -0.005111 25.702919  2.897844
93    1  1  0.000497 25.697311  5.712669
98    1  1  0.000176 25.697632 19.987059
99    1  1  0.004198 25.693610 22.838674
100   1  1 28.534008 25.716920 25.675269
101   1  1  2.859116  0.005280  0.011060
102   1  1  2.839919 28.538497  2.839919
109   1  1  2.853463 28.555222 22.845112
110   1  1  2.863465  0.005669 25.692139
111   1  1  2.853321  2.853083 28.552355
112   1  1  2.852260  2.851426  2.852260
119   1  1  2.845327  2.846304 22.851504
120   1  1  2.853463  2.852696 25.695706
181   1  1  2.839391 22.858417 28.554975
182   1  1  2.830021 22.867787  2.830021
189   1  1  2.852260 22.845548 22.846382
190   1  1  2.839919 22.857889 25.712431
191   1  1  2.897845 25.702919 -0.005111
192   1  1  2.839391 25.695953  2.839391
199   1  1  2.853321 25.698573 22.844725
200   1  1  2.859116 25.686748 25.692528
201   1  1  5.711755  0.001038  0.001648
210   1  1  5.713792  0.002522 25.695286
291   1  1  5.712669 25.697311  0.000497
300   1  1  5.711755 25.696160 25.696770
701   1  1 19.987499 -0.000155 -0.000136
710   1  1 19.987873 -0.000033 25.697841
791   1  1 19.987059 25.697632  0.000176
800   1  1 19.987499 25.697944 25.697963
801   1  1 22.848401 -0.002212  0.001820
802   1  1 22.845112 28.555222  2.853463
809   1  1 22.850458 28.548980 22.850458
810   1  1 22.846899 -0.000083 25.697891
811   1  1 22.848838  2.848970 28.552142
812   1  1 22.851504  2.846304  2.845327
819   1  1 22.850986  2.846822 22.850986
820   1  1 22.850458  2.847350 25.701948
881   1  1 22.844725 22.844487 28.552355
882   1  1 22.846382 22.845548  2.852260
889   1  1 22.851504 22.852481 22.851504
890   1  1 22.845112 22.844345 25.695706
891   1  1 22.838674 25.693610  0.004198
892   1  1 22.844725 25.698573  2.853321
899   1  1 22.848838 25.698786 22.848838
900   1  1 22.848401 25.695988 25.700020
901   1  1 25.794016 28.456912 28.499286
902   1  1 25.692139  0.005669  2.863465
903   1  1 25.695286  0.002522  5.713792
908   1  1 25.697841 -0.000033 19.987873
909   1  1 25.697891 -0.000083 22.846899
910   1  1 25.750060 28.500868 25.750060
911   1  1 25.700020  2.849407  0.001820
912   1  1 25.695706  2.852696  2.853463
919   1  1 25.701948  2.847350 22.850458
920   1  1 25.697891  2.850909 25.697891
921   1  1 25.697963  5.710309 -0.000136
930   1  1 25.697841  5.709935 25.697841
971   1  1 25.696770 19.986053  0.001648
980   1  1 25.695286 19.984016 25.695286
981   1  1 25.692528 22.838692  0.011060
982   1  1 25.712431 22.857889  2.839919
989   1  1 25.695706 22.844345 22.845112
990   1  1 25.692139 22.834343 25.692139
991   1  1 25.675269 25.716919 28.534009
992   1  1 25.692528 25.686748  2.859116
993   1  1 25.696770 25.696160  5.711755
998   1  1 25.697963 25.697944 19.987499
999   1  1 25.700020 25.695988 22.848401
1000  1  1 25.794015 25.751641 25.794015
1001  1  1  1.422652  1.423117  1.422652
1002  1  1  1.430842  1.428097  4.283009
1008  1  1  1.425201  1.425751 21.417655
1009  1  1  1.403480  1.401541 24.296267
1010  1  1  1.429274  1.422444 27.119063
1011  1  1  1.428201  4.283254  1.428201
1019  1  1  1.425201  4.280153 24.272057
1020  1  1  1.427467  4.282020 27.124669
1071  1  1  1.427559 21.421842  1.427559
1079  1  1  1.430842 21.414799 24.269712
1080  1  1  1.430507 21.414879 27.123796
1081  1  1  1.324955 24.372853  1.324955
1082  1  1  1.427559 24.270249  4.275966
1088  1  1  1.428201 24.269607 21.414554
1089  1  1  1.422652 24.275156 24.274691
1090  1  1  1.372339 24.325469 27.162194
1091  1  1  1.372340 27.088734  1.372339
1092  1  1  1.430507 27.127132  4.282929
1098  1  1  1.427467 27.126258 21.415788
1099  1  1  1.429274 27.131865 24.275364
1100  1  1  1.512156 27.127931 27.122997
1101  1  1  4.283009  1.428097  1.430842
