Generated by pymatgen.io.lammps.data.LammpsData

1999  atoms

   2  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847000
2  30.973762

Atoms

1     0  1 28.544668  0.064860 28.544668
2     0  1  0.010909  0.003957  2.854432
3     0  1  0.001152  0.001100  5.711489
4     0  1  0.000139  0.000257  8.566414
5     0  1  0.000158 28.553085 11.421549
6     0  1  0.000267 28.552907 14.276776
7     0  1  0.000410 28.552698 17.132027
8     0  1  0.000772 28.552442 19.987310
9     0  1  0.002893 28.552019 22.845824
10    0  1 28.498222 28.466308 25.784620
11    0  1  0.005170  2.863279  0.005170
12    0  1 28.552181  2.855431  2.855122
13    0  1  0.000723  2.855018  5.710388
14    0  1  0.000450  2.855362  8.566200
15    0  1  0.000297  2.855248 11.421563
16    0  1  0.000264  2.855050 14.276945
17    0  1  0.000244  2.854635 17.132605
18    0  1  0.000186  2.853310 19.989364
19    0  1  0.000605  2.848257 22.849551
20    0  1  0.002893  2.851984 25.698909
21    0  1  0.001011  5.711424  0.001011
22    0  1 28.553066  5.711027  2.856090
23    0  1  0.000067  5.710334  5.710705
24    0  1  0.000319  5.710350  8.565980
25    0  1  0.000301  5.710437 11.421523
26    0  1  0.000240  5.710218 14.277119
27    0  1  0.000172  5.709546 17.133088
28    0  1  0.000121  5.708110 19.989698
29    0  1  0.000186  5.708444 22.844498
30    0  1  0.000772  5.710498 25.698486
31    0  1  0.000431  8.565967  0.000431
32    0  1  0.000184  8.566031  2.855778
33    0  1  0.000074  8.565888  5.710932
34    0  1  0.000148  8.565746  8.566061
35    0  1  0.000219  8.565699 11.421471
36    0  1  0.000211  8.565448 14.277118
37    0  1  0.000178  8.564904 17.132904
38    0  1  0.000172  8.564720 19.988262
39    0  1  0.000244  8.565203 22.843173
40    0  1  0.000410  8.565781 25.698230
41    0  1  0.000227 11.421120  0.000227
42    0  1  0.000146 11.421221  2.855547
43    0  1  0.000096 11.421310  5.710792
44    0  1  0.000111 11.421325  8.565984
45    0  1  0.000153 11.421206 11.421318
46    0  1  0.000185 11.420933 14.276875
47    0  1  0.000211 11.420690 17.132360
48    0  1  0.000240 11.420689 19.987590
49    0  1  0.000264 11.420863 22.842758
50    0  1  0.000267 11.421032 25.698021
51    0  1  0.000046 14.276338  0.000046
52    0  1  0.000030 14.276586  2.855286
53    0  1  0.000050 14.276948  5.710395
54    0  1  0.000081 14.277117  8.565507
55    0  1  0.000115 14.276863 11.420945
56    0  1  0.000153 14.276490 14.276602
57    0  1  0.000219 14.276337 17.132109
58    0  1  0.000301 14.276285 19.987371
59    0  1  0.000297 14.276245 22.842560
60    0  1  0.000158 14.276259 25.697843
61    0  1 28.552941 17.131454 28.552941
62    0  1 28.552894 17.132342  2.854753
63    0  1 28.552985 17.133301  5.709360
64    0  1 28.553111 17.133203  8.564605
65    0  1  0.000081 17.132301 11.420691
66    0  1  0.000111 17.131824 14.276483
67    0  1  0.000148 17.131747 17.132062
68    0  1  0.000319 17.131828 19.987458
69    0  1  0.000450 17.131608 22.842446
70    0  1  0.000139 17.131394 25.697551
71    0  1 28.552875 19.984446 28.552875
72    0  1 28.551744 19.990105  2.852599
73    0  1 28.552455 19.991185  5.706623
74    0  1 28.552985 19.988448  8.564507
75    0  1  0.000050 19.987413 11.420860
76    0  1  0.000096 19.987016 14.276498
77    0  1  0.000074 19.986876 17.131920
78    0  1  0.000067 19.987103 19.987474
79    0  1  0.000723 19.987420 22.842790
80    0  1  0.001152 19.986319 25.696708
81    0  1  0.001920 22.797756  0.001920
82    0  1 28.544642 22.858826  2.838982
83    0  1 28.551744 22.845209  5.707703
84    0  1 28.552894 22.843055  8.565466
85    0  1  0.000030 22.842522 11.421222
86    0  1  0.000146 22.842261 14.276587
87    0  1  0.000184 22.842030 17.131777
88    0  1 28.553066 22.841718 19.986781
89    0  1 28.552181 22.842686 22.842377
90    0  1  0.010909 22.843376 25.693851
91    0  1 27.839485 26.411443 27.839485
92    0  1  0.001920 25.695888  2.900052
93    0  1 28.552875 25.698053  5.713362
94    0  1 28.552941 25.697987  8.566354
95    0  1  0.000046 25.697762 11.421470
96    0  1  0.000227 25.697581 14.276688
97    0  1  0.000431 25.697377 17.131841
98    0  1  0.001011 25.696797 19.986384
99    0  1  0.005170 25.692638 22.834529
100   0  1 28.544668 25.706260 25.632948
101   0  1  2.854432  0.003957  0.010909
102   0  1  2.830261 28.531391  2.830261
103   0  1  2.853484 28.551730  5.708315
104   0  1  2.855122 28.552899  8.565801
105   0  1  2.855426 28.552990 11.421365
106   0  1  2.855572 28.552980 14.276714
107   0  1  2.855688 28.552997 17.132045
108   0  1  2.855866  0.000256 19.987540
109   0  1  2.856129  0.002713 22.843667
110   0  1  2.859355  0.000533 25.697275
111   0  1  2.855122  2.855431 28.552181
