,dx,dy,dz
0,0.012694,0.055068,0.055068
1,-0.022028,-0.063678,0.022028
2,-0.022028,0.022028,-0.063678
3,0.461747,-0.461747,-0.461747
4,-0.011112,0.011112,0.011112
5,-0.055068,0.055068,-0.012694
6,-0.055068,-0.012694,0.055068
7,0.063678,0.022028,0.022028
8,-0.045553,-0.002467,-0.002467
9,-0.002321,0.001772,0.002321
10,-0.002321,0.002321,0.001772
11,0.002467,-0.002467,0.045553
12,0.002467,0.045553,-0.002467
13,-0.001772,0.002321,0.002321
14,-0.008170,-0.001341,-0.006401
15,-0.008170,-0.006401,-0.001340
16,0.048764,0.036730,-0.048764
17,0.048764,-0.048764,0.036730
18,-0.009579,0.013015,0.013015
19,0.006401,-0.001340,0.008170
20,0.006401,0.008170,-0.001340
21,-0.036729,-0.048764,-0.048764
22,-0.013015,0.013015,0.009579
23,-0.013015,0.009579,0.013015
24,0.001340,-0.006401,0.008170
25,0.001341,0.008170,-0.006401
26,0.008370,0.010309,0.010309
27,-0.010802,-0.011267,0.010802
28,-0.010802,0.010802,-0.011267
29,0.086895,-0.086895,-0.086895
30,-0.005191,0.005190,0.005191
31,-0.010309,0.010309,-0.008370
32,-0.010309,-0.008370,0.010309
33,0.011267,0.010802,0.010802
34,-0.008262,-0.004123,-0.004123
35,-0.003913,-0.003734,0.009514
36,-0.003913,0.009514,-0.003734
37,-0.042642,-0.006657,-0.006657
38,-0.000274,0.005796,0.003758
39,-0.002652,-0.003931,0.002652
40,-0.000274,0.003758,0.005796
41,-0.009514,-0.003734,0.003913
42,-0.002652,0.002652,-0.003931
43,0.006657,-0.006657,0.042642
44,-0.009514,0.003913,-0.003734
45,0.006657,0.042642,-0.006657
46,-0.001630,0.004294,0.001630
47,-0.003758,0.005796,0.000274
48,-0.001630,0.001630,0.004294
49,0.004123,-0.004123,0.008262
50,-0.003758,0.000274,0.005796
51,0.003734,0.009514,0.003913
52,0.004123,0.008262,-0.004123
53,0.003734,0.003914,0.009514
54,-0.004294,0.001630,0.001630
55,-0.005796,0.003758,0.000274
56,-0.005796,0.000274,0.003758
57,0.003931,0.002652,0.002652
58,-0.009438,-0.006354,-0.006354
59,-0.000301,0.001081,0.000301
60,-0.000301,0.000301,0.001081
61,0.006354,-0.006354,0.009438
62,0.006354,0.009438,-0.006354
63,-0.001081,0.000301,0.000301
64,-0.001793,-0.001027,-0.002524
65,-0.001651,-0.001413,-0.000344
66,-0.001793,-0.002524,-0.001027
67,0.011751,0.014201,-0.011751
68,-0.001651,-0.000344,-0.001413
69,0.012278,0.002277,-0.012278
70,0.011751,-0.011751,0.014201
71,0.012278,-0.012278,0.002277
72,0.000557,0.002700,0.002700
73,0.000344,-0.001413,0.001651
74,0.000344,0.001651,-0.001413
75,-0.002277,-0.012278,-0.012278
76,-0.003719,0.004319,0.004319
77,0.002524,-0.001027,0.001793
78,0.002524,0.001793,-0.001027
79,-0.014201,-0.011751,-0.011751
80,-0.004319,0.004319,0.003719
81,-0.002700,0.002700,-0.000557
82,-0.004319,0.003719,0.004319
83,0.001027,-0.002524,0.001793
84,-0.002700,-0.000557,0.002700
85,0.001413,-0.000344,0.001651
86,0.001027,0.001793,-0.002524
87,0.001413,0.001651,-0.000344
88,-0.001805,-0.000888,0.000949
89,-0.001805,0.000949,-0.000888
90,-0.000878,-0.001668,0.003664
91,-0.000878,0.003664,-0.001668
92,-0.000625,0.000032,-0.000795
93,-0.000625,-0.000794,0.000032
94,-0.003664,-0.001668,0.000878
95,-0.003664,0.000878,-0.001668
96,-0.000905,0.002459,0.001809
97,0.000795,0.000032,0.000625
98,-0.000906,0.001809,0.002459
99,-0.000949,-0.000888,0.001805
100,0.000795,0.000625,0.000032
101,0.001668,0.003664,0.000878
102,-0.000949,0.001805,-0.000888
103,0.001668,0.000878,0.003664
104,-0.001809,0.002459,0.000906
105,-0.001809,0.000906,0.002459
106,0.000888,0.000949,0.001805
107,0.000888,0.001805,0.000949
108,-0.002459,0.001809,0.000906
109,-0.002459,0.000905,0.001809
110,-0.000032,-0.000795,0.000625
111,-0.000032,0.000625,-0.000795
112,-0.001392,-0.001655,-0.001655
113,-0.001281,-0.001309,0.004055
114,-0.001281,0.004055,-0.001309
115,0.005761,0.000772,0.000772
116,0.001586,0.001575,0.001036
117,-0.001413,-0.001526,0.001413
118,0.001586,0.001036,0.001575
119,-0.004055,-0.001309,0.001281
120,-0.001413,0.001413,-0.001526
121,-0.000772,0.000772,-0.005761
122,-0.004055,0.001281,-0.001309
123,-0.000772,-0.005761,0.000772
124,-0.000926,0.001869,0.000926
125,-0.001036,0.001575,-0.001586
126,-0.000926,0.000926,0.001869
127,0.001655,-0.001656,0.001392
128,-0.001036,-0.001586,0.001575
129,0.001309,0.004055,0.001281
130,0.001655,0.001392,-0.001655
131,0.001309,0.001281,0.004055
132,-0.001869,0.000926,0.000926
133,-0.001575,0.001036,-0.001586
134,-0.001575,-0.001586,0.001036
135,0.001526,0.001413,0.001413
136,0.003497,0.002520,0.002520
137,-0.003436,-0.002602,0.003436
138,-0.003436,0.003436,-0.002602
139,0.018803,-0.018803,-0.018803
140,-0.002002,0.002002,0.002002
141,-0.002520,0.002520,-0.003497
142,-0.002520,-0.003497,0.002520
143,0.002602,0.003436,0.003436
144,-0.002952,-0.002446,-0.002446
145,-0.000915,-0.000961,0.001571
146,-0.000915,0.001571,-0.000961
147,-0.001829,0.000420,0.000420
148,0.000212,0.000532,0.000232
149,-0.000100,0.000091,0.000100
150,0.000212,0.000232,0.000532
151,-0.001571,-0.000961,0.000915
152,-0.000100,0.000100,0.000091
153,-0.000420,0.000420,0.001829
154,-0.001571,0.000915,-0.000961
155,-0.000420,0.001829,0.000420
156,-0.000109,0.000905,0.000109
