Generated by pymatgen.io.lammps.data.LammpsData

168  atoms

  2  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847000
2  30.973762

Atoms

1     1  1 27.839802 27.839802 27.839802
2     1  1  0.002737  0.002737  2.900521
3     1  1  0.000365  0.000365  5.713402
8     1  1  0.000458  0.000458 19.986576
9     1  1  0.004761  0.004761 22.834851
10    1  1 28.544638 28.544638 25.633300
11    1  1  0.002737  2.900521  0.002737
12    1  1 28.545627  2.840132  2.840132
19    1  1 28.551952  2.854631 22.842920
20    1  1  0.011238  2.854433 25.694338
21    1  1  0.000365  5.713402  0.000365
30    1  1  0.001441  5.711245 25.697118
71    1  1  0.000458 19.986576  0.000458
80    1  1  0.000142 19.987138 25.697942
81    1  1  0.004761 22.834851  0.004761
82    1  1 28.551952 22.842920  2.854631
89    1  1 28.553134 22.849011 22.849011
90    1  1  0.002317 22.845719 25.698503
91    1  1 28.544638 25.633300 28.544638
92    1  1  0.011238 25.694338  2.854433
93    1  1  0.001441 25.697118  5.711245
98    1  1  0.000142 25.697942 19.987138
99    1  1  0.002317 25.698503 22.845719
100   1  1 28.497872 25.784670 25.784670
101   1  1  2.900521  0.002737  0.002737
102   1  1  2.840132 28.545627  2.840132
109   1  1  2.854631 28.551952 22.842920
110   1  1  2.854433  0.011238 25.694338
111   1  1  2.840132  2.840132 28.545627
112   1  1  2.838061  2.838061  2.838061
119   1  1  2.854438  2.854438 22.843344
120   1  1  2.831032  2.831032 25.719725
181   1  1  2.854631 22.842920 28.551952
182   1  1  2.854438 22.843344  2.854438
189   1  1  2.846321 22.851893 22.851893
190   1  1  2.855444 22.843820 25.694938
191   1  1  2.854433 25.694338  0.011238
192   1  1  2.831032 25.719725  2.831032
199   1  1  2.855444 25.694938 22.843820
200   1  1  2.858938 25.697450 25.697450
201   1  1  5.713402  0.000365  0.000365
210   1  1  5.711245  0.001441 25.697118
291   1  1  5.711245 25.697118  0.001441
300   1  1  5.713253 25.696210 25.696210
701   1  1 19.986576  0.000458  0.000458
710   1  1 19.987138  0.000142 25.697942
791   1  1 19.987138 25.697942  0.000142
800   1  1 19.987575 25.697802 25.697802
801   1  1 22.834851  0.004761  0.004761
802   1  1 22.842920 28.551952  2.854631
809   1  1 22.849011 28.553134 22.849011
810   1  1 22.845719  0.002317 25.698503
811   1  1 22.842920  2.854631 28.551952
812   1  1 22.843344  2.854438  2.854438
819   1  1 22.851893  2.846321 22.851893
820   1  1 22.843820  2.855444 25.694938
881   1  1 22.849011 22.849011 28.553134
882   1  1 22.851893 22.851893  2.846321
889   1  1 22.850557 22.850557 22.850557
890   1  1 22.850072 22.850072 25.701619
891   1  1 22.845719 25.698503  0.002317
892   1  1 22.843820 25.694938  2.855444
899   1  1 22.850072 25.701619 22.850072
900   1  1 22.844022 25.695846 25.695846
901   1  1 25.633300 28.544638 28.544638
902   1  1 25.694338  0.011238  2.854433
903   1  1 25.697118  0.001441  5.711245
908   1  1 25.697942  0.000142 19.987138
909   1  1 25.698503  0.002317 22.845719
910   1  1 25.784670 28.497872 25.784670
911   1  1 25.694338  2.854433  0.011238
912   1  1 25.719725  2.831032  2.831032
919   1  1 25.694938  2.855444 22.843820
920   1  1 25.697450  2.858938 25.697450
921   1  1 25.697118  5.711245  0.001441
930   1  1 25.696210  5.713253 25.696210
971   1  1 25.697942 19.987138  0.000142
980   1  1 25.697802 19.987575 25.697802
981   1  1 25.698503 22.845719  0.002317
982   1  1 25.694938 22.843820  2.855444
989   1  1 25.701619 22.850072 22.850072
990   1  1 25.695846 22.844022 25.695846
991   1  1 25.784670 25.784670 28.497872
992   1  1 25.697450 25.697450  2.858938
993   1  1 25.696210 25.696210  5.713253
998   1  1 25.697802 25.697802 19.987575
999   1  1 25.695846 25.695846 22.844022
1000  1  1 25.742541 25.742541 25.742541
1001  1  1  1.383945  1.383945  1.383945
1002  1  1  1.430476  1.430476  4.282239
1008  1  1  1.429380  1.429380 21.412626
1009  1  1  1.428546  1.428546 24.267089
1010  1  1  1.341753  1.341753 27.181355
1011  1  1  1.430476  4.282239  1.430476
1019  1  1  1.430929  4.282174 24.270158
1020  1  1  1.427704  4.280345 27.123509
1071  1  1  1.429380 21.412626  1.429380
1079  1  1  1.426029 21.417310 24.271928
1080  1  1  1.428517 21.414551 27.124310
1081  1  1  1.428546 24.267089  1.428546
1082  1  1  1.430929 24.270158  4.282174
1088  1  1  1.426029 24.271928 21.417310
1089  1  1  1.405724 24.295428 24.295428
1090  1  1  1.431598 24.271709 27.114837
1091  1  1  1.341753 27.181355  1.341753
1092  1  1  1.427704 27.123509  4.280345
1098  1  1  1.428517 27.124310 21.414551
1099  1  1  1.431598 27.114837 24.271709
1100  1  1  1.493035 27.134712 27.134712
1101  1  1  4.282239  1.430476  1.430476
