Generated by pymatgen.io.lammps.data.LammpsData

168  atoms

  2  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847000
2  30.973762

Atoms

1     1  1 28.050230 28.050230 28.050230
2     1  1 -0.005109 -0.005109  2.897838
3     1  1  0.000496  0.000496  5.712669
8     1  1  0.000176  0.000176 19.987059
9     1  1  0.004198  0.004198 22.838674
10    1  1 28.534009 28.534009 25.675267
11    1  1 -0.005109  2.897838 -0.005109
12    1  1 28.554973  2.839393  2.839393
19    1  1 28.552355  2.853321 22.844725
20    1  1  0.011060  2.859116 25.692528
21    1  1  0.000496  5.712669  0.000496
30    1  1  0.001648  5.711755 25.696770
71    1  1  0.000176 19.987059  0.000176
80    1  1 -0.000136 19.987499 25.697963
81    1  1  0.004198 22.838674  0.004198
82    1  1 28.552355 22.844725  2.853321
89    1  1 28.552142 22.848838 22.848838
90    1  1  0.001820 22.848400 25.700019
91    1  1 28.534009 25.675267 28.534009
92    1  1  0.011060 25.692528  2.859116
93    1  1  0.001648 25.696770  5.711755
98    1  1 -0.000136 25.697963 19.987499
99    1  1  0.001820 25.700019 22.848400
100   1  1 28.499289 25.794003 25.794003
101   1  1  2.897838 -0.005109 -0.005109
102   1  1  2.839393 28.554973  2.839393
109   1  1  2.853321 28.552355 22.844725
110   1  1  2.859116  0.011060 25.692528
111   1  1  2.839393  2.839393 28.554973
112   1  1  2.830023  2.830023  2.830023
119   1  1  2.852261  2.852261 22.846381
120   1  1  2.839918  2.839918 25.712431
181   1  1  2.853321 22.844725 28.552355
182   1  1  2.852261 22.846381  2.852261
189   1  1  2.845327 22.851504 22.851504
190   1  1  2.853463 22.845112 25.695706
191   1  1  2.859116 25.692528  0.011060
192   1  1  2.839918 25.712431  2.839918
199   1  1  2.853463 25.695706 22.845112
200   1  1  2.863464 25.692140 25.692140
201   1  1  5.712669  0.000496  0.000496
210   1  1  5.711755  0.001648 25.696770
291   1  1  5.711755 25.696770  0.001648
300   1  1  5.713792 25.695286 25.695286
701   1  1 19.987059  0.000176  0.000176
710   1  1 19.987499 -0.000136 25.697963
791   1  1 19.987499 25.697963 -0.000136
800   1  1 19.987873 25.697841 25.697841
801   1  1 22.838674  0.004198  0.004198
802   1  1 22.844725 28.552355  2.853321
809   1  1 22.848838 28.552142 22.848838
810   1  1 22.848400  0.001820 25.700019
811   1  1 22.844725  2.853321 28.552355
812   1  1 22.846381  2.852261  2.852261
819   1  1 22.851504  2.845327 22.851504
820   1  1 22.845112  2.853463 25.695706
881   1  1 22.848838 22.848838 28.552142
882   1  1 22.851504 22.851504  2.845327
889   1  1 22.850986 22.850986 22.850986
890   1  1 22.850457 22.850457 25.701948
891   1  1 22.848400 25.700019  0.001820
892   1  1 22.845112 25.695706  2.853463
899   1  1 22.850457 25.701948 22.850457
900   1  1 22.846899 25.697891 25.697891
901   1  1 25.675267 28.534009 28.534009
902   1  1 25.692528  0.011060  2.859116
903   1  1 25.696770  0.001648  5.711755
908   1  1 25.697963 -0.000136 19.987499
909   1  1 25.700019  0.001820 22.848400
910   1  1 25.794003 28.499289 25.794003
911   1  1 25.692528  2.859116  0.011060
912   1  1 25.712431  2.839918  2.839918
919   1  1 25.695706  2.853463 22.845112
920   1  1 25.692140  2.863464 25.692140
921   1  1 25.696770  5.711755  0.001648
930   1  1 25.695286  5.713792 25.695286
971   1  1 25.697963 19.987499 -0.000136
980   1  1 25.697841 19.987873 25.697841
981   1  1 25.700019 22.848400  0.001820
982   1  1 25.695706 22.845112  2.853463
989   1  1 25.701948 22.850457 22.850457
990   1  1 25.697891 22.846899 25.697891
991   1  1 25.794003 25.794003 28.499289
992   1  1 25.692140 25.692140  2.863464
993   1  1 25.695286 25.695286  5.713792
998   1  1 25.697841 25.697841 19.987873
999   1  1 25.697891 25.697891 22.846899
1000  1  1 25.750058 25.750058 25.750058
1001  1  1  1.324980  1.324980  1.324980
1002  1  1  1.427559  1.427559  4.275969
1008  1  1  1.428201  1.428201 21.414554
1009  1  1  1.422653  1.422653 24.274690
1010  1  1  1.372339  1.372339 27.162195
1011  1  1  1.427559  4.275969  1.427559
1019  1  1  1.430842  4.283009 24.269712
1020  1  1  1.430506  4.282929 27.123796
1071  1  1  1.428201 21.414554  1.428201
1079  1  1  1.425202 21.417655 24.272057
1080  1  1  1.427467 21.415788 27.124670
1081  1  1  1.422653 24.274690  1.422653
1082  1  1  1.430842 24.269712  4.283009
1088  1  1  1.425202 24.272057 21.417655
1089  1  1  1.403481 24.296266 24.296266
1090  1  1  1.429274 24.275363 27.119063
1091  1  1  1.372339 27.162195  1.372339
1092  1  1  1.430506 27.123796  4.282929
1098  1  1  1.427467 27.124670 21.415788
1099  1  1  1.429274 27.119063 24.275363
1100  1  1  1.512150 27.122997 27.122997
1101  1  1  4.275969  1.427559  1.427559
