Generated by pymatgen.io.lammps.data.LammpsData

1999  atoms

   2  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847000
2  30.973762

Atoms

1     0  1 27.839485 27.839485 27.839485
2     0  1  0.001920  0.001920  2.900052
3     0  1 28.552875 28.552875  5.713362
4     0  1 28.552941 28.552941  8.566354
5     0  1  0.000046  0.000046 11.421470
6     0  1  0.000226  0.000226 14.276688
7     0  1  0.000431  0.000431 17.131841
8     0  1  0.001011  0.001011 19.986384
9     0  1  0.005170  0.005170 22.834529
10    0  1 28.544668 28.544668 25.632948
11    0  1  0.001920  2.900052  0.001920
12    0  1 28.544642  2.838981  2.838981
13    0  1 28.551744  2.852599  5.707703
14    0  1 28.552894  2.854753  8.565466
15    0  1  0.000030  2.855286 11.421222
16    0  1  0.000146  2.855547 14.276587
17    0  1  0.000184  2.855778 17.131777
18    0  1 28.553066  2.856090 19.986781
19    0  1 28.552181  2.855122 22.842377
20    0  1  0.010909  2.854432 25.693851
21    0  1 28.552875  5.713362 28.552875
22    0  1 28.551744  5.707703  2.852599
23    0  1 28.552455  5.706623  5.706623
24    0  1 28.552985  5.709360  8.564507
25    0  1  0.000050  5.710395 11.420860
26    0  1  0.000096  5.710792 14.276498
27    0  1  0.000074  5.710932 17.131920
28    0  1  0.000067  5.710705 19.987474
29    0  1  0.000723  5.710388 22.842790
30    0  1  0.001152  5.711489 25.696708
31    0  1 28.552941  8.566354 28.552941
32    0  1 28.552894  8.565466  2.854753
33    0  1 28.552985  8.564507  5.709360
34    0  1 28.553111  8.564605  8.564605
35    0  1  0.000081  8.565507 11.420691
36    0  1  0.000111  8.565984 14.276483
37    0  1  0.000148  8.566061 17.132062
38    0  1  0.000319  8.565980 19.987458
39    0  1  0.000450  8.566200 22.842446
40    0  1  0.000139  8.566414 25.697551
41    0  1  0.000046 11.421470  0.000046
42    0  1  0.000030 11.421222  2.855286
43    0  1  0.000050 11.420860  5.710395
44    0  1  0.000081 11.420691  8.565507
45    0  1  0.000115 11.420945 11.420945
46    0  1  0.000153 11.421318 14.276602
47    0  1  0.000219 11.421471 17.132109
48    0  1  0.000301 11.421523 19.987371
49    0  1  0.000297 11.421563 22.842560
50    0  1  0.000158 11.421549 25.697843
51    0  1  0.000226 14.276688  0.000226
52    0  1  0.000146 14.276587  2.855547
53    0  1  0.000096 14.276498  5.710792
54    0  1  0.000111 14.276483  8.565984
55    0  1  0.000153 14.276602 11.421318
56    0  1  0.000185 14.276875 14.276875
57    0  1  0.000211 14.277118 17.132360
58    0  1  0.000240 14.277119 19.987590
59    0  1  0.000264 14.276945 22.842758
60    0  1  0.000267 14.276775 25.698021
61    0  1  0.000431 17.131841  0.000431
62    0  1  0.000184 17.131777  2.855778
63    0  1  0.000074 17.131920  5.710932
64    0  1  0.000148 17.132062  8.566061
65    0  1  0.000219 17.132109 11.421471
66    0  1  0.000211 17.132360 14.277118
67    0  1  0.000178 17.132904 17.132904
68    0  1  0.000172 17.133088 19.988262
69    0  1  0.000244 17.132605 22.843173
70    0  1  0.000410 17.132027 25.698230
71    0  1  0.001011 19.986384  0.001011
72    0  1 28.553066 19.986781  2.856090
73    0  1  0.000067 19.987474  5.710705
74    0  1  0.000319 19.987458  8.565980
75    0  1  0.000301 19.987371 11.421523
76    0  1  0.000240 19.987590 14.277119
77    0  1  0.000172 19.988262 17.133088
78    0  1  0.000121 19.989698 19.989698
79    0  1  0.000186 19.989364 22.844498
80    0  1  0.000772 19.987310 25.698486
81    0  1  0.005170 22.834529  0.005170
82    0  1 28.552181 22.842377  2.855122
83    0  1  0.000723 22.842790  5.710388
84    0  1  0.000450 22.842446  8.566200
85    0  1  0.000297 22.842560 11.421563
86    0  1  0.000264 22.842758 14.276945
87    0  1  0.000244 22.843173 17.132605
88    0  1  0.000186 22.844498 19.989364
89    0  1  0.000605 22.849551 22.849551
90    0  1  0.002893 22.845824 25.698909
91    0  1 28.544668 25.632948 28.544668
92    0  1  0.010909 25.693851  2.854432
93    0  1  0.001152 25.696708  5.711489
94    0  1  0.000139 25.697551  8.566414
95    0  1  0.000158 25.697843 11.421549
96    0  1  0.000267 25.698021 14.276775
97    0  1  0.000410 25.698230 17.132027
98    0  1  0.000772 25.698486 19.987310
99    0  1  0.002893 25.698909 22.845824
100   0  1 28.498222 25.784620 25.784620
101   0  1  2.900052  0.001920  0.001920
102   0  1  2.838981 28.544642  2.838981
103   0  1  2.852599 28.551744  5.707703
104   0  1  2.854753 28.552894  8.565466
105   0  1  2.855286  0.000030 11.421222
106   0  1  2.855547  0.000146 14.276587
107   0  1  2.855778  0.000184 17.131777
108   0  1  2.856090 28.553066 19.986781
109   0  1  2.855122 28.552181 22.842377
110   0  1  2.854432  0.010909 25.693851
111   0  1  2.838981  2.838981 28.544642
