,dx,dy,dz
0,-0.063678,-0.022028,-0.022028
1,0.055068,0.012694,-0.055068
2,0.055068,-0.055068,0.012694
3,0.011112,-0.011112,-0.011112
4,-0.461747,0.461747,0.461747
5,0.022028,-0.022028,0.063678
6,0.022028,0.063678,-0.022028
7,-0.012694,-0.055068,-0.055068
8,0.001772,-0.002321,-0.002321
9,-0.002467,-0.045553,0.002467
10,-0.002467,0.002467,-0.045553
11,0.002321,-0.002321,-0.001772
12,0.002321,-0.001772,-0.002321
13,0.045553,0.002467,0.002467
14,-0.001340,-0.008170,0.006401
15,-0.001341,0.006401,-0.008170
16,0.013015,-0.009579,-0.013015
17,0.013015,-0.013015,-0.009579
18,0.036729,0.048764,0.048764
19,-0.006401,-0.008170,0.001340
20,-0.006401,0.001340,-0.008170
21,0.009579,-0.013015,-0.013015
22,-0.048764,0.048764,-0.036730
23,-0.048764,-0.036730,0.048764
24,0.008170,0.006401,0.001341
25,0.008170,0.001340,0.006401
26,-0.011267,-0.010802,-0.010802
27,0.010309,0.008370,-0.010309
28,0.010309,-0.010309,0.008370
29,0.005191,-0.005191,-0.005190
30,-0.086895,0.086895,0.086895
31,0.010802,-0.010802,0.011267
32,0.010802,0.011267,-0.010802
33,-0.008370,-0.010309,-0.010309
34,-0.003931,-0.002652,-0.002652
35,0.005796,-0.000274,-0.003758
36,0.005796,-0.003758,-0.000274
37,0.004294,-0.001630,-0.001630
38,-0.003734,-0.003913,-0.009514
39,-0.004123,-0.008262,0.004123
40,-0.003734,-0.009514,-0.003914
41,0.003758,-0.000274,-0.005796
42,-0.004123,0.004123,-0.008262
43,0.001630,-0.001630,-0.004294
44,0.003758,-0.005796,-0.000274
45,0.001630,-0.004294,-0.001630
46,-0.006657,-0.042642,0.006657
47,0.009514,-0.003913,0.003734
48,-0.006657,0.006657,-0.042642
49,0.002652,-0.002652,0.003931
50,0.009514,0.003734,-0.003913
51,0.000274,-0.003758,-0.005796
52,0.002652,0.003931,-0.002652
53,0.000274,-0.005796,-0.003758
54,0.042642,0.006657,0.006657
55,0.003913,-0.009514,0.003734
56,0.003913,0.003734,-0.009514
57,0.008262,0.004123,0.004123
58,0.001081,-0.000301,-0.000301
59,-0.006354,-0.009438,0.006354
60,-0.006354,0.006354,-0.009438
61,0.000301,-0.000301,-0.001081
62,0.000301,-0.001081,-0.000301
63,0.009438,0.006354,0.006354
64,-0.001413,-0.001651,0.000344
65,-0.001027,-0.001793,0.002524
66,-0.001413,0.000344,-0.001651
67,0.002700,0.000557,-0.002700
68,-0.001027,0.002524,-0.001793
69,0.004319,-0.003719,-0.004319
70,0.002700,-0.002700,0.000557
71,0.004319,-0.004319,-0.003719
72,0.014201,0.011751,0.011751
73,-0.002524,-0.001793,0.001027
74,-0.002524,0.001027,-0.001793
75,0.003719,-0.004319,-0.004319
76,0.002277,0.012278,0.012278
77,-0.000344,-0.001651,0.001413
78,-0.000344,0.001413,-0.001651
79,-0.000557,-0.002700,-0.002700
80,-0.012278,0.012278,-0.002277
81,-0.011751,0.011751,-0.014201
82,-0.012278,-0.002277,0.012278
83,0.001651,0.000344,0.001413
84,-0.011751,-0.014201,0.011751
85,0.001793,0.002524,0.001027
86,0.001651,0.001413,0.000344
87,0.001793,0.001027,0.002524
88,0.000032,-0.000625,0.000795
89,0.000032,0.000795,-0.000625
90,0.002459,-0.000906,-0.001809
91,0.002459,-0.001809,-0.000905
92,-0.000888,-0.001805,-0.000949
93,-0.000888,-0.000949,-0.001805
94,0.001809,-0.000906,-0.002459
95,0.001809,-0.002459,-0.000906
96,-0.001668,-0.000878,-0.003664
97,0.000949,-0.001805,0.000888
98,-0.001668,-0.003664,-0.000878
99,-0.000795,-0.000625,-0.000032
100,0.000949,0.000888,-0.001805
101,0.000905,-0.001809,-0.002459
102,-0.000795,-0.000032,-0.000625
103,0.000906,-0.002459,-0.001809
104,0.003664,-0.000878,0.001668
105,0.003664,0.001668,-0.000878
106,0.000625,0.000795,-0.000032
107,0.000625,-0.000032,0.000794
108,0.000878,-0.003664,0.001668
109,0.000878,0.001668,-0.003664
110,0.001805,-0.000949,0.000888
111,0.001805,0.000888,-0.000949
112,-0.001526,-0.001413,-0.001413
113,0.001575,0.001586,-0.001036
114,0.001575,-0.001036,0.001586
115,0.001869,-0.000926,-0.000926
116,-0.001309,-0.001281,-0.004055
117,-0.001655,-0.001392,0.001656
118,-0.001309,-0.004055,-0.001281
119,0.001036,0.001586,-0.001575
120,-0.001655,0.001655,-0.001392
121,0.000926,-0.000926,-0.001869
122,0.001036,-0.001575,0.001586
123,0.000926,-0.001869,-0.000926
124,0.000772,0.005761,-0.000772
125,0.004055,-0.001281,0.001309
126,0.000772,-0.000772,0.005761
127,0.001413,-0.001413,0.001526
128,0.004055,0.001309,-0.001281
129,-0.001586,-0.001036,-0.001575
130,0.001413,0.001526,-0.001413
131,-0.001586,-0.001575,-0.001036
132,-0.005761,-0.000772,-0.000772
133,0.001281,-0.004055,0.001309
134,0.001281,0.001309,-0.004055
135,0.001392,0.001655,0.001655
136,-0.002602,-0.003436,-0.003436
137,0.002520,0.003497,-0.002520
138,0.002520,-0.002520,0.003497
139,0.002002,-0.002002,-0.002002
140,-0.018803,0.018803,0.018803
141,0.003436,-0.003436,0.002602
142,0.003436,0.002602,-0.003436
143,-0.003497,-0.002520,-0.002520
144,0.000091,-0.000100,-0.000100
145,0.000532,0.000212,-0.000232
146,0.000532,-0.000232,0.000212
147,0.000905,-0.000109,-0.000109
148,-0.000961,-0.000915,-0.001571
149,-0.002446,-0.002952,0.002446
150,-0.000961,-0.001571,-0.000915
151,0.000232,0.000212,-0.000532
152,-0.002446,0.002446,-0.002952
153,0.000109,-0.000109,-0.000905
154,0.000232,-0.000532,0.000212
155,0.000109,-0.000905,-0.000109
156,0.000420,-0.001829,-0.000420
157,0.001571,-0.000915,0.000961
158,0.000420,-0.000420,-0.001829
159,0.000100,-0.000100,-0.000091
160,0.001571,0.000961,-0.000915
161,-0.000212,-0.000232,-0.000532
162,0.000100,-0.000091,-0.000100
163,-0.000212,-0.000532,-0.000232
164,0.001829,-0.000420,-0.000420
165,0.000915,-0.001571,0.000961
166,0.000915,0.000961,-0.001571
167,0.002952,0.002446,0.002446
