Generated by pymatgen.io.lammps.data.LammpsData

164  atoms

  1  atom types

0.000000 14.276500  xlo xhi
0.000000 28.553000  ylo yhi
0.000000 87.106000  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847

Atoms

91    1  1 14.277295 11.419543 43.552581
92    1  1 14.278521 11.420286 46.408902
111   1  1 14.280113 14.277992 43.551518
112   1  1 14.277296 14.276927 46.409644
270   1  1  2.864515  8.574667 40.708007
271   1  1  2.856248  8.565616 43.550473
272   1  1  2.855082  8.566699 46.406935
273   1  1  2.855288  8.566844 49.261997
290   1  1  2.862011 11.420807 40.704847
291   1  1  2.858801 11.418530 43.553799
292   1  1  2.847769 11.416194 46.412995
293   1  1  2.855081 11.422247 49.262162
310   1  1  2.863356 14.272436 40.705782
311   1  1  2.857603 14.278485 43.551026
312   1  1  2.858805 14.275707 46.410656
313   1  1  2.856250 14.279044 49.263241
330   1  1  2.863821 17.123690 40.706171
331   1  1  2.863353 17.124060 43.557082
332   1  1  2.862006 17.124998 46.408374
333   1  1  2.864514 17.121854 49.254169
451   1  1  5.708734  5.708169 43.551608
452   1  1  5.709552  5.710210 46.409405
470   1  1  5.707736  8.565785 40.699635
471   1  1  5.710187  8.562255 43.552834
472   1  1  5.706932  8.566805 46.419289
473   1  1  5.732218  8.590276 49.238558
489   1  1  5.710806 11.421042 37.843278
490   1  1  5.711444 11.418783 40.701414
491   1  1  5.797560 11.476370 43.640016
492   1  1  5.646071 11.429586 46.399600
493   1  1  5.706933 11.409893 49.262051
494   1  1  5.709550 11.419767 52.118308
509   1  1  5.710732 14.276390 37.843697
510   1  1  5.708915 14.278322 40.699689
511   1  1  5.755667 14.231564 43.597966
512   1  1  5.797569 14.189502 46.352790
513   1  1  5.710168 14.276700 49.266619
514   1  1  5.708731 14.277921 52.120349
530   1  1  5.714727 17.124096 40.705766
531   1  1  5.708912 17.130154 43.551191
532   1  1  5.711446 17.128422 46.410400
533   1  1  5.707735 17.130223 49.263055
551   1  1  5.710734 19.986484 43.553141
552   1  1  5.710809 19.986901 46.408127
651   1  1  8.567324  5.710168 43.552345
652   1  1  8.566161  5.707969 46.408242
670   1  1  8.564864  8.566796 40.698619
671   1  1  8.577120  8.566927 43.549571
672   1  1  8.568473  8.520742 46.410660
673   1  1  8.558206  8.581207 49.247630
689   1  1  8.566721 11.420855 37.842782
690   1  1  8.570896 11.416537 40.690552
691   1  1  8.557500 11.429750 43.488541
692   1  1  7.852559 12.134496 45.694773
693   1  1  8.568478 11.418523 49.308081
694   1  1  8.566163 11.420929 52.120542
709   1  1  8.566486 14.276286 37.843379
710   1  1  8.568590 14.275738 40.701445
711   1  1  8.510873 14.189597 43.639930
712   1  1  8.557463 14.340927 46.399398
713   1  1  8.577123 14.279945 49.261933
714   1  1  8.567326 14.277184 52.118350
730   1  1  8.566383 17.125023 40.704838
731   1  1  8.568592 17.128395 43.553777
732   1  1  8.570897 17.139295 46.412647
733   1  1  8.564866 17.131237 49.262040
751   1  1  8.566483 19.986802 43.553245
752   1  1  8.566718 19.987399 46.408313
870   1  1 11.420799  8.567320 40.699107
871   1  1 11.396864  8.590484 43.574839
872   1  1 11.405688  8.581237 46.400331
873   1  1 11.403480  8.583289 49.245547
890   1  1 11.421197 11.422622 40.698821
891   1  1 11.420402 11.410059 43.549599
892   1  1 11.466262 11.418497 46.410696
893   1  1 11.405683 11.428846 49.247613
910   1  1 11.422299 14.279175 40.699868
911   1  1 11.425290 14.276743 43.552768
912   1  1 11.420407 14.279913 46.419129
913   1  1 11.396864 14.254688 49.238368
930   1  1 11.413298 17.121835 40.708027
931   1  1 11.422301 17.129973 43.550342
932   1  1 11.421194 17.131015 46.406561
933   1  1 11.420792 17.130743 49.261512
1070  1  1  1.430114  9.994410 42.127538
1071  1  1  1.427428  9.992429 44.979413
1072  1  1  1.424781  9.991346 47.837675
1090  1  1  1.431237 12.847181 42.127984
1091  1  1  1.426228 12.848985 44.980363
1092  1  1  1.427428 12.849936 47.836599
1110  1  1  1.431516 15.703137 42.126542
1111  1  1  1.431237 15.701687 44.982169
1112  1  1  1.430115 15.702139 47.834607
1250  1  1  4.283818  7.138726 42.127104
1251  1  1  4.283420  7.138394 44.982074
1252  1  1  4.282365  7.139319 47.838634
1269  1  1  4.284711  9.995072 39.273358
1270  1  1  4.308311 10.015287 42.151063
1271  1  1  4.284463  9.989457 44.970022
1272  1  1  4.279586  9.992563 47.836458
1273  1  1  4.282367  9.990369 50.689361
1289  1  1  4.285535 12.847579 39.273616
1290  1  1  4.299520 12.840359 42.141898
1291  1  1  4.238710 12.850638 44.978705
1292  1  1  4.284468 12.859326 47.839568
1293  1  1  4.283415 12.847273 50.690304
1309  1  1  4.284495 15.702660 39.273267
1310  1  1  4.301967 15.685587 42.144095
1311  1  1  4.299514 15.687784 44.988994
1312  1  1  4.308309 15.678623 47.813723
1313  1  1  4.283808 15.702599 50.689963
