Generated by pymatgen.io.lammps.data.LammpsData

209  atoms

  1  atom types

0.000000 14.276500  xlo xhi
0.000000 28.553000  ylo yhi
0.000000 87.106000  zlo zhi
0.000000 0.000000 0.012143  xy xz yz

Masses

1  55.847

Atoms

52    1  1 14.272585  5.721327 46.407065
53    1  1 14.271964  5.722305 49.260156
71    1  1 14.274430  8.573474 43.553931
72    1  1 14.272979  8.574585 46.406259
73    1  1 14.272259  8.574015 49.261675
74    1  1 14.271884  8.575913 52.113105
91    1  1  0.000857 11.425515 43.552402
92    1  1  0.001731 11.427109 46.408496
93    1  1 14.272889 11.429735 49.260705
94    1  1 14.272409 11.429325 52.113646
111   1  1  0.003926 14.283816 43.551725
112   1  1  0.000763 14.283528 46.409696
113   1  1 14.274247 14.282409 49.261390
114   1  1 14.273324 14.283091 52.114136
132   1  1  0.001709 17.136069 46.408700
133   1  1  0.000754 17.136420 49.262449
270   1  1  2.864768  8.579748 40.707867
271   1  1  2.856213  8.571575 43.550300
272   1  1  2.854523  8.573411 46.406514
273   1  1  2.854171  8.574499 49.261191
290   1  1  2.862578 11.425968 40.704925
291   1  1  2.858949 11.424411 43.553662
292   1  1  2.847535 11.422890 46.412719
293   1  1  2.854430 11.429482 49.261878
310   1  1  2.864246 14.277367 40.706302
311   1  1  2.858057 14.284219 43.551323
312   1  1  2.858859 14.282269 46.410801
313   1  1  2.856029 14.286041 49.263288
331   1  1  2.864152 17.129567 43.557796
332   1  1  2.862386 17.131360 46.408845
451   1  1  5.708416  5.713788 43.551201
452   1  1  5.708914  5.716768 46.408852
453   1  1  5.711100  5.720573 49.260483
470   1  1  5.707962  8.570686 40.699229
471   1  1  5.710064  8.568044 43.552387
472   1  1  5.706439  8.573600 46.418601
473   1  1  5.731813  8.598339 49.237341
474   1  1  5.711011  8.575585 52.114829
489   1  1  5.711597 11.425537 37.843290
490   1  1  5.711961 11.423822 40.701284
491   1  1  5.797556 11.482200 43.639691
492   1  1  5.645789 11.436386 46.399233
493   1  1  5.706345 11.417396 49.261691
494   1  1  5.708728 11.427542 52.118197
509   1  1  5.711738 14.280860 37.844083
510   1  1  5.709743 14.283277 40.700072
511   1  1  5.756396 14.237084 43.598481
512   1  1  5.797473 14.196250 46.353002
513   1  1  5.709860 14.283973 49.266837
514   1  1  5.708138 14.285570 52.120693
530   1  1  5.715784 17.128863 40.706621
531   1  1  5.709647 17.135798 43.551878
532   1  1  5.711780 17.134992 46.410992
533   1  1  5.707689 17.137498 49.263735
651   1  1  8.567015  5.715862 43.551806
652   1  1  8.565389  5.714492 46.407497
653   1  1  8.564028  5.720710 49.259886
654   1  1  8.564564  5.722345 52.113437
670   1  1  8.565204  8.571744 40.697987
671   1  1  8.576855  8.572805 43.548964
672   1  1  8.567631  8.527657 46.409706
673   1  1  8.557016  8.589315 49.246372
674   1  1  8.563944  8.576185 52.114692
689   1  1  8.567529 11.425354 37.842592
690   1  1  8.571413 11.421561 40.690214
691   1  1  8.557537 11.435517 43.488184
692   1  1  7.852265 12.141187 45.694401
693   1  1  8.567537 11.426302 49.307593
694   1  1  8.565210 11.428900 52.120466
695   1  1  8.565163 11.429227 54.972969
709   1  1  8.567429 14.280775 37.843658
710   1  1  8.569284 14.280769 40.701648
711   1  1  8.511166 14.195556 43.640016
712   1  1  8.557385 14.347703 46.399640
713   1  1  8.576671 14.287372 49.262055
714   1  1  8.566743 14.284964 52.118619
730   1  1  8.567175 17.129897 40.705589
731   1  1  8.569193 17.134220 43.554389
732   1  1  8.571226 17.146075 46.413251
733   1  1  8.564932 17.138738 49.262670
734   1  1  8.566437 17.138789 52.117406
851   1  1 11.419529  5.718989 43.554193
852   1  1 11.418334  5.720012 46.406355
853   1  1 11.418984  5.720530 49.260895
854   1  1 11.418132  5.722572 52.113216
870   1  1 11.421019  8.572519 40.698433
871   1  1 11.396224  8.596859 43.574642
872   1  1 11.404541  8.588544 46.399376
873   1  1 11.401637  8.591661 49.244026
874   1  1 11.418905  8.575177 52.114878
890   1  1 11.421700 11.427710 40.698475
891   1  1 11.420333 11.416090 43.549305
892   1  1 11.465751 11.425508 46.410098
893   1  1 11.404446 11.436613 49.246734
894   1  1 11.418166 11.430036 52.114961
895   1  1 11.420375 11.429227 54.972179
910   1  1 11.422975 14.284288 40.700059
911   1  1 11.425544 14.282632 43.552908
912   1  1 11.420237 14.286624 46.419117
913   1  1 11.396034 14.261694 49.237989
914   1  1 11.419266 14.282579 52.115501
931   1  1 11.422882 17.135808 43.550873
932   1  1 11.421506 17.137799 46.407101
933   1  1 11.420734 17.138283 49.261889
934   1  1 11.422244 17.138368 52.116555
1052  1  1  1.425009  7.147391 47.833995
1070  1  1  1.430285  9.999972 42.127398
1071  1  1  1.427268  9.998848 44.979105
1072  1  1  1.424106  9.998558 47.837087
1073  1  1  1.424921 10.002035 50.687953
1090  1  1  1.431645 12.852638 42.128102
1091  1  1  1.426301 12.855262 44.980309
