Generated by pymatgen.io.lammps.data.LammpsData

164  atoms

  1  atom types

0.000000 14.276500  xlo xhi
0.000000 28.553000  ylo yhi
0.000000 87.106000  zlo zhi
0.000000 0.000000 0.012143  xy xz yz

Masses

1  55.847

Atoms

71    1  1 14.272806  8.573515 43.555274
72    1  1 14.271703  8.574440 46.406971
73    1  1 14.271767  8.573569 49.262350
91    1  1 14.274516 11.426392 43.552929
92    1  1 -0.000807 11.427477 46.408369
93    1  1 14.271700 11.429280 49.261083
111   1  1 14.277169 14.283287 43.552482
112   1  1 14.274514 14.283233 46.409052
113   1  1 14.272802 14.281298 49.261601
271   1  1  2.854252  8.572040 43.550492
272   1  1  2.852969  8.573029 46.407311
273   1  1  2.854036  8.572473 49.263446
291   1  1  2.854473 11.425511 43.550848
292   1  1  2.842052 11.421042 46.414807
293   1  1  2.852969 11.428940 49.262494
311   1  1  2.861964 14.282122 43.553647
312   1  1  2.854475 14.285315 46.409931
313   1  1  2.854254 14.286082 49.263077
451   1  1  5.709643  5.716761 43.552877
452   1  1  5.710365  5.718396 46.408959
453   1  1  5.712663  5.720676 49.260975
470   1  1  5.707048  8.571329 40.698521
471   1  1  5.715105  8.576697 43.558387
472   1  1  5.708504  8.577893 46.414630
473   1  1  5.734429  8.599267 49.236640
474   1  1  5.712660  8.575321 52.114894
490   1  1  5.707390 11.425181 40.698560
491   1  1  5.765624 11.464118 43.608961
492   1  1  5.625584 11.425404 46.410439
493   1  1  5.708507 11.421616 49.257621
494   1  1  5.710362 11.427696 52.116796
510   1  1  5.710347 14.281893 40.705546
511   1  1  5.812945 14.179606 43.656222
512   1  1  5.765633 14.227232 46.371301
513   1  1  5.715093 14.278204 49.258429
514   1  1  5.709642 14.284122 52.118023
531   1  1  5.710331 17.130576 43.553480
532   1  1  5.707381 17.137946 46.409876
533   1  1  5.707049 17.138386 49.263372
651   1  1  8.566494  5.717786 43.553498
652   1  1  8.565348  5.715866 46.407840
653   1  1  8.564772  5.721020 49.260353
670   1  1  8.564784  8.571627 40.697505
671   1  1  8.572061  8.577283 43.551633
672   1  1  8.563246  8.535226 46.405801
673   1  1  8.555919  8.592529 49.243378
674   1  1  8.564774  8.575943 52.114546
690   1  1  8.572071 11.420532 40.686508
691   1  1  8.567945 11.424900 43.468720
692   1  1  7.643491 12.349551 45.486222
693   1  1  8.563240 11.430451 49.300235
694   1  1  8.565348 11.428815 52.119315
710   1  1  8.567424 14.284927 40.698450
711   1  1  8.528764 14.226982 43.608838
712   1  1  8.567869 14.367441 46.410452
713   1  1  8.572059 14.284937 49.257817
714   1  1  8.566494 14.283501 52.116993
731   1  1  8.567440 17.137673 43.550448
732   1  1  8.572079 17.150007 46.414520
733   1  1  8.564786 17.139401 49.263068
851   1  1 11.419271  5.719625 43.555752
852   1  1 11.418452  5.720509 46.407222
853   1  1 11.419343  5.720713 49.261175
870   1  1 11.421999  8.570926 40.698239
871   1  1 11.394639  8.598087 43.577336
872   1  1 11.400984  8.591873 46.398476
873   1  1 11.399573  8.593651 49.242258
874   1  1 11.419344  8.575123 52.114854
890   1  1 11.421283 11.427892 40.697488
891   1  1 11.415533 11.420862 43.551482
892   1  1 11.457818 11.429974 46.405863
893   1  1 11.400959 11.437775 49.243617
894   1  1 11.418452 11.429432 52.114679
910   1  1 11.421718 14.285253 40.698404
911   1  1 11.416482 14.277605 43.558169
912   1  1 11.415526 14.284682 46.414577
913   1  1 11.394622 14.259235 49.237010
914   1  1 11.419271 14.281247 52.115156
931   1  1 11.421721 17.137701 43.550134
932   1  1 11.421278 17.139001 46.407156
933   1  1 11.421989 17.138656 49.263764
1071  1  1  1.424641  9.998919 44.979116
1072  1  1  1.421764  9.997322 47.838567
1091  1  1  1.424459 12.855609 44.980194
1092  1  1  1.424639 12.857092 47.836566
1250  1  1  4.285440  7.148476 42.129229
1251  1  1  4.284278  7.147319 44.981700
1252  1  1  4.284145  7.148101 47.837550
1253  1  1  4.292416  7.154861 50.681067
1270  1  1  4.297838 10.014235 42.141575
1271  1  1  4.278397  9.994678 44.969860
1272  1  1  4.274022  9.994743 47.841144
1273  1  1  4.284148  9.998733 50.687450
1290  1  1  4.298430 12.856334 42.142047
1291  1  1  4.239367 12.849772 44.986033
1292  1  1  4.278403 12.866352 47.840797
1293  1  1  4.284279 12.854916 50.687838
1310  1  1  4.307882 15.684287 42.151465
1311  1  1  4.298421 15.694099 44.979077
1312  1  1  4.297836 15.694958 47.820840
1313  1  1  4.285435 15.707728 50.686270
1431  1  1  7.137823  4.289357 44.980582
1432  1  1  7.138137  4.290197 47.835388
1450  1  1  7.138745  7.146565 42.127916
1451  1  1  7.133695  7.140883 44.976539
1452  1  1  7.136087  7.151067 47.833324
1453  1  1  7.138931  7.151912 50.684017
1469  1  1  7.136391  9.998066 39.269858
1470  1  1  7.126866  9.994218 42.122078
1471  1  1  7.156865  9.976982 44.999667
