Generated by pymatgen.io.lammps.data.LammpsData

1999  atoms

   1  atom types

0.000000 14.276500  xlo xhi
0.000000 28.553000  ylo yhi
0.000000 87.106000  zlo zhi
0.000000 0.000000 0.026419  xy xz yz

Masses

1  55.847

Atoms

1    -2  1 14.276500 28.557524 14.985007
2    -2  1 14.276500 28.558391 17.855186
3    -2  1 14.276500 28.559252 20.712499
4    -2  1 14.276500 28.560113 23.567966
5    -2  1  0.000091 28.560757 26.423450
6    -2  1  0.000262 28.561253 29.278925
7    -2  1  0.000414 28.561944 32.134256
8     0  1  0.000517 28.562875 34.989312
9     0  1  0.000473 28.563885 37.844054
10    0  1  0.000225 28.564981 40.698757
11    0  1 14.276490 28.566175 43.553411
12    0  1 14.276247  0.014484 46.408029
13    0  1 14.276057  0.015857 49.262534
14    0  1 14.276051  0.017178 52.116948
15   -2  1 14.276186  0.018313 54.971325
16   -2  1 14.276299  0.018744 57.826415
17   -2  1 14.276429  0.018801 60.682022
18   -2  1 14.276500 28.572251 63.537549
19   -2  1 14.276500 28.573100 66.392636
20   -2  1 14.276500 28.573950 69.234530
21   -2  1 14.276500  2.859789 14.985006
22   -2  1 14.276500  2.860653 17.855172
23   -2  1 14.276500  2.861505 20.712469
24   -2  1 14.276500  2.862358 23.567903
25   -2  1  0.000092  2.863058 26.423323
26   -2  1  0.000270  2.863695 29.278662
27   -2  1  0.000440  2.864566 32.133908
28    0  1  0.000582  2.865784 34.989177
29    0  1  0.000623  2.867241 37.844424
30    0  1 14.276114  2.868553 40.699310
31    0  1 14.275711  2.869674 43.553576
32    0  1 14.275307  2.871098 46.407841
33    0  1 14.275030  2.872639 49.261858
34    0  1 14.275282  2.873948 52.115862
35   -2  1 14.275982  2.874781 54.970060
36   -2  1 14.276180  2.874152 57.826261
37   -2  1 14.276393  2.874038 60.682192
38   -2  1  0.000000  2.874520 63.537681
39   -2  1 14.276500  2.875342 66.392724
40   -2  1 14.276500  2.876173 69.234588
41   -2  1 14.276500  5.715075 14.985003
42   -2  1 14.276500  5.715939 17.855150
43   -2  1 14.276500  5.716789 20.712419
44   -2  1 14.276500  5.717644 23.567806
45   -2  1  0.000106  5.718409 26.423152
46   -2  1  0.000323  5.719154 29.278408
47   -2  1  0.000595  5.720077 32.133617
48    0  1  0.001057  5.721385 34.989062
49    0  1  0.001574  5.724020 37.845659
50    0  1 14.273824  5.727233 40.701929
51    0  1 14.273599  5.727482 43.553674
52    0  1 14.272586  5.728933 46.407065
53    0  1 14.271962  5.730387 49.260150
54    0  1 14.272407  5.731706 52.112626
55   -2  1 14.275231  5.729256 54.970137
56   -2  1 14.275970  5.728896 57.826652
57   -2  1 14.276346  5.729167 60.682485
58   -2  1 14.276500  5.729813 63.537873
59   -2  1 14.276500  5.730627 66.392860
60   -2  1  0.000000  5.731447 69.234682
61   -2  1 14.276500  8.570388 14.984999
62   -2  1 14.276500  8.571254 17.855126
63   -2  1 14.276500  8.572109 20.712368
64   -2  1 14.276500  8.572970 23.567715
65   -2  1  0.000123  8.573780 26.423010
66   -2  1  0.000382  8.574584 29.278246
67   -2  1  0.000726  8.575496 32.133491
68    0  1  0.001325  8.576606 34.989011
69    0  1  0.002209  8.577966 37.845300
70    0  1  0.001030  8.578629 40.700295
71    0  1 14.274434  8.580603 43.553924
72    0  1 14.272980  8.582190 46.406256
73    0  1 14.272258  8.582093 49.261670
74    0  1 14.271882  8.584459 52.113096
75   -2  1 14.274891  8.583577 54.970580
76   -2  1 14.275862  8.583715 57.827070
77   -2  1 14.276323  8.584333 60.682738
78   -2  1 14.276500  8.585128 63.538042
79   -2  1 14.276500  8.585953 66.392989
80   -2  1 14.276500  8.586779 69.234776
81   -2  1 14.276500 11.425723 14.984996
82   -2  1 14.276500 11.426592 17.855110
83   -2  1 14.276500 11.427454 20.712337
84   -2  1 14.276500 11.428320 23.567662
85   -2  1  0.000139 11.429147 26.422934
86   -2  1  0.000435 11.429954 29.278198
87   -2  1  0.000834 11.430805 32.133541
88    0  1  0.001531 11.431728 34.989256
89    0  1  0.002645 11.432636 37.845771
90    0  1  0.001896 11.432779 40.700205
91    0  1  0.000858 11.432647 43.552400
92    0  1  0.001733 11.434714 46.408496
93    0  1 14.272890 11.437810 49.260705
94    0  1 14.272410 11.437866 52.113644
95   -2  1 14.275063 11.437965 54.971160
96   -2  1 14.275916 11.438675 57.827410
97   -2  1 14.276338 11.439560 60.682893
98   -2  1 14.276500 11.440456 63.538137
99   -2  1 14.276500 11.441307 66.393066
100  -2  1  0.000000 11.442154 69.234835
101  -2  1 14.276500 14.281067 14.984996
102  -2  1 14.276500 14.281938 17.855110
103  -2  1 14.276500 14.282810 20.712337
104  -2  1 14.276500 14.283678 23.567662
105  -2  1  0.000149 14.284493 26.422940
106  -2  1  0.000466 14.285245 29.278267
107  -2  1  0.000894 14.285962 32.133750
108   0  1  0.001629 14.286607 34.989704
