Generated by pymatgen.io.lammps.data.LammpsData

16000  atoms

    1  atom types

0.000000 57.106000  xlo xhi
0.000000 57.106000  ylo yhi
0.000000 57.106000  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847

Atoms

1     -2  1 57.064695 57.064762 57.064678
2     -2  1  1.411572  1.411743  1.411545
3     -2  1  0.001354  0.001500  2.854871
4     -2  1  1.426440  1.426688  4.281250
5     -2  1 57.105802  0.000031  5.710350
6     -2  1  1.427042  1.427354  7.137457
7     -2  1 57.105640 57.105934  8.565433
8     -2  1  1.427114  1.427470  9.992882
9     -2  1 57.105621 57.105955 11.420691
10    -2  1  1.427140  1.427514 12.848255
11    -2  1 57.105624 57.105970 14.276016
12    -2  1  1.427164  1.427532 15.703639
13    -2  1 57.105646 57.105978 17.131381
14    -2  1  1.427199  1.427540 18.559042
15    -2  1 57.105684 57.105983 19.986774
16    -2  1  1.427246  1.427546 21.414460
17    -2  1 57.105735 57.105985 22.842183
18    -2  1  1.427302  1.427550 24.269884
19    -2  1 57.105793 57.105987 25.697598
20    -2  1  1.427362  1.427554 27.125309
21    -2  1 57.105854 57.105987 28.553014
22    -2  1  1.427423  1.427558 29.980729
23    -2  1 57.105916 57.105986 31.408426
24    -2  1  1.427481  1.427561 32.836141
25    -2  1 57.105974 57.105983 34.263829
26    -2  1  1.427532  1.427561 35.691542
27    -2  1  0.000024 57.105978 37.119217
28    -2  1  1.427570  1.427557 38.546929
29    -2  1  0.000062 57.105970 39.974583
30    -2  1  1.427585  1.427542 41.402303
31    -2  1  0.000079 57.105955 42.829918
32    -2  1  1.427555  1.427496 44.257679
33    -2  1  0.000072 57.105934 45.685196
34    -2  1  1.427431  1.427377 47.113119
35    -2  1  0.000160  0.000032 48.540307
36    -2  1  1.426733  1.426707 49.969347
37    -2  1  0.001597  0.001505 51.395808
38    -2  1  1.411742  1.411769 52.839062
39    -2  1 57.064810 57.064797 54.291993
40    -2  1  1.420935  1.421030 55.678316
41    -2  1  0.001453  2.855132  0.001433
42    -2  1  1.426536  4.281610  1.426504
43    -2  1 57.105390  2.851558  2.851322
44    -2  1  1.426593  4.280671  4.280348
45    -2  1 57.105462  2.854410  5.709196
46    -2  1  1.426904  4.282081  7.136881
47    -2  1 57.105581  2.854960  8.565119
48    -2  1  1.427049  4.282501  9.992652
49    -2  1 57.105598  2.855082 11.420574
50    -2  1  1.427094  4.282617 12.848145
51    -2  1 57.105608  2.855119 14.275962
52    -2  1  1.427124  4.282654 15.703580
53    -2  1 57.105632  2.855133 17.131355
54    -2  1  1.427162  4.282671 18.559011
55    -2  1 57.105672  2.855140 19.986761
56    -2  1  1.427213  4.282682 21.414445
57    -2  1 57.105724  2.855145 22.842178
58    -2  1  1.427272  4.282693 24.269881
59    -2  1 57.105783  2.855150 25.697598
60    -2  1  1.427335  4.282705 27.125314
61    -2  1 57.105845  2.855155 28.553018
62    -2  1  1.427399  4.282717 29.980740
63    -2  1 57.105908  2.855160 31.408434
64    -2  1  1.427459  4.282729 32.836159
65    -2  1 57.105967  2.855163 34.263843
66    -2  1  1.427513  4.282736 35.691570
67    -2  1  0.000018  2.855163 37.119242
68    -2  1  1.427552  4.282733 38.546977
69    -2  1  0.000055  2.855152 39.974632
70    -2  1  1.427563  4.282700 41.402396
71    -2  1  0.000066  2.855114 42.830028
72    -2  1  1.427513  4.282579 44.257888
73    -2  1  0.000022  2.854987 45.685503
74    -2  1  1.427312  4.282146 47.113675
75    -2  1 57.105826  2.854431 48.541455
76    -2  1  1.426897  4.280717 49.970235
77    -2  1 57.105630  2.851572 51.399356
78    -2  1  1.426699  4.281634 52.824105
79    -2  1  0.001538  2.855137 54.249265
80    -2  1  1.426688  4.281964 55.678310
81    -2  1 57.105985  5.710761 57.105956
82    -2  1  1.427223  7.137946  1.427179
83    -2  1 57.105547  5.709578  2.854199
84    -2  1  1.426989  7.137319  4.281802
85    -2  1 57.105510  5.709172  5.708836
86    -2  1  1.426964  7.137192  7.136820
87    -2  1 57.105552  5.709902  8.564768
88    -2  1  1.427013  7.137560  9.992457
89    -2  1 57.105564  5.710183 11.420397
90    -2  1  1.427042  7.137736 12.848012
91    -2  1 57.105575  5.710274 14.275872
92    -2  1  1.427072  7.137805 15.703500
93    -2  1 57.105603  5.710307 17.131309
94    -2  1  1.427115  7.137837 18.558966
95    -2  1 57.105646  5.710323 19.986740
96    -2  1  1.427171  7.137861 21.414425
97    -2  1 57.105701  5.710335 22.842171
98    -2  1  1.427236  7.137882 24.269877
99    -2  1 57.105764  5.710346 25.697600
100   -2  1  1.427305  7.137904 27.125321
101   -2  1 57.105829  5.710357 28.553026
102   -2  1  1.427374  7.137924 29.980755
103   -2  1 57.105894  5.710366 31.408448
104   -2  1  1.427439  7.137941 32.836182
105   -2  1 57.105956  5.710372 34.263865
106   -2  1  1.427496  7.137950 35.691604
107   -2  1  0.000009  5.710368 37.119281
