Generated by pymatgen.io.lammps.data.LammpsData

167  atoms

  2  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847000
2  30.973762

Atoms

1     1  1 28.617645 28.544579 28.544579
2     1  1  0.003430  0.011172  2.854361
3     1  1  0.000663  0.001418  5.711234
8     1  1 -0.000096  0.000115 19.987135
9     1  1 -0.000620  0.002262 22.845705
10    1  1 28.466312 28.497842 25.784652
11    1  1  0.003430  2.854361  0.011172
12    1  1 28.530822  2.830643  2.830643
19    1  1 28.556027  2.855437 22.843834
20    1  1  0.000386  2.858922 25.697454
21    1  1  0.000663  5.711234  0.001418
30    1  1  0.001625  5.713264 25.696240
71    1  1 -0.000096 19.987135  0.000115
80    1  1  0.000056 19.987532 25.697743
81    1  1 -0.000620 22.845705  0.002262
82    1  1 28.556027 22.843834  2.855437
89    1  1 28.549387 22.849985 22.849985
90    1  1  0.002021 22.843958 25.695778
91    1  1 28.466312 25.784652 28.497842
92    1  1  0.000386 25.697454  2.858922
93    1  1  0.001625 25.696240  5.713264
98    1  1  0.000056 25.697743 19.987532
99    1  1  0.002021 25.695778 22.843958
100   1  1 28.508449 25.742495 25.742495
101   1  1  2.863019  0.004745  0.004745
102   1  1  2.854978 28.551999  2.854661
109   1  1  2.848822 28.553105 22.848987
110   1  1  2.852126  0.002301 25.698488
111   1  1  2.854978  2.854661 28.551999
112   1  1  2.854558  2.854326  2.854326
119   1  1  2.845929  2.846319 22.851896
120   1  1  2.854017  2.855447 25.694952
181   1  1  2.848822 22.848987 28.553105
182   1  1  2.845929 22.851896  2.846319
189   1  1  2.847276 22.850500 22.850500
190   1  1  2.847772 22.850013 25.701562
191   1  1  2.852126 25.698488  0.002301
192   1  1  2.854017 25.694952  2.855447
199   1  1  2.847772 25.701562 22.850013
200   1  1  2.853823 25.695812 25.695812
201   1  1  5.711273  0.000452  0.000452
210   1  1  5.710685  0.000139 25.697936
291   1  1  5.710685 25.697936  0.000139
300   1  1  5.710242 25.697782 25.697782
701   1  1 19.984394  0.000348  0.000348
710   1  1 19.986545  0.001431 25.697102
791   1  1 19.986545 25.697102  0.001431
800   1  1 19.984567 25.696205 25.696205
801   1  1 22.797206  0.002706  0.002706
802   1  1 22.857612 28.545571  2.840112
809   1  1 22.843216 28.551925 22.842964
810   1  1 22.843375  0.011227 25.694330
811   1  1 22.857612  2.840112 28.545571
812   1  1 22.859700  2.838030  2.838030
819   1  1 22.843369  2.854426 22.843372
820   1  1 22.866729  2.831038 25.719683
881   1  1 22.843216 22.842964 28.551925
882   1  1 22.843369 22.843372  2.854426
890   1  1 22.842430 22.843829 25.694919
891   1  1 22.843375 25.694330  0.011227
892   1  1 22.866729 25.719683  2.831038
899   1  1 22.842430 25.694919 22.843829
900   1  1 22.838922 25.697437 25.697437
901   1  1 26.411136 27.839745 27.839745
902   1  1 25.695002  0.002662  2.900470
903   1  1 25.697391  0.000315  5.713403
908   1  1 25.697406  0.000430 19.986604
909   1  1 25.693121  0.004730 22.834882
910   1  1 25.706318 28.544612 25.633271
911   1  1 25.695002  2.900470  0.002662
912   1  1 25.705180  2.840038  2.840038
919   1  1 25.699025  2.854616 22.842958
920   1  1 25.686570  2.854415 25.694322
921   1  1 25.697391  5.713403  0.000315
930   1  1 25.696360  5.711243 25.697112
971   1  1 25.697406 19.986604  0.000430
980   1  1 25.697713 19.987134 25.697907
981   1  1 25.693121 22.834882  0.004730
982   1  1 25.699025 22.842958  2.854616
989   1  1 25.697851 22.848948 22.848948
990   1  1 25.695582 22.845693 25.698432
991   1  1 25.706318 25.633271 28.544612
992   1  1 25.686570 25.694322  2.854415
993   1  1 25.696360 25.697112  5.711243
998   1  1 25.697713 25.697907 19.987134
999   1  1 25.695582 25.698432 22.845693
1000  1  1 25.753112 25.784637 25.784637
1001  1  1  1.430752  1.428465  1.428465
1002  1  1  1.427565  1.430861  4.282065
1008  1  1  1.425911  1.426011 21.417305
1009  1  1  1.402417  1.405709 24.295426
1010  1  1  1.426153  1.431588 27.114839
1011  1  1  1.427565  4.282065  1.430861
1019  1  1  1.426504  4.282572 24.271342
1020  1  1  1.426757  4.282990 27.126866
1071  1  1  1.425911 21.417305  1.426011
1079  1  1  1.426384 21.417264 24.271408
1080  1  1  1.425294 21.417611 27.126474
1081  1  1  1.402417 24.295426  1.405709
1082  1  1  1.426504 24.271342  4.282572
1088  1  1  1.426384 24.271408 21.417264
1089  1  1  1.409220 24.288578 24.288578
1090  1  1  1.411483 24.286341 27.133686
1091  1  1  1.426153 27.114839  1.431588
1092  1  1  1.426757 27.126866  4.282990
1098  1  1  1.425294 27.126474 21.417611
1099  1  1  1.411483 27.133686 24.286341
1100  1  1  1.472096 27.123479 27.123479
1101  1  1  4.285282  1.429373  1.429373
1109  1  1  4.280512  1.426023 24.271921
