Generated by pymatgen.io.lammps.data.LammpsData

226  atoms

  2  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847000
2  30.973762

Atoms

1     2  1  0.064866 28.544660 28.544660
2     2  1  0.003962  0.010902  2.854424
3     1  1  0.001106  0.001144  5.711481
8     1  1 28.552447  0.000764 19.987303
9     2  1 28.552025  0.002885 22.845816
10    2  1 28.466313 28.498214 25.784613
11    2  1  0.003962  2.854424  0.010902
12    2  1 28.531397  2.830254  2.830254
13    1  1 28.551736  2.853476  5.708307
19    2  1  0.002718  2.856122 22.843660
20    2  1  0.000539  2.859348 25.697267
21    1  1  0.001106  5.711481  0.001144
22    1  1 28.551736  5.708307  2.853476
30    2  1  0.001846  5.713844 25.695960
71    1  1 28.552447 19.987303  0.000764
80    1  1 28.552445 19.988024 25.698481
81    2  1 28.552025 22.845816  0.002885
82    2  1  0.002718 22.843660  2.856122
89    1  1 28.548493 22.850871 22.850871
90    1  1  0.001308 22.844490 25.696498
91    2  1 28.466313 25.784613 28.498214
92    2  1  0.000539 25.697267  2.859348
93    2  1  0.001846 25.695960  5.713844
98    1  1 28.552445 25.698481 19.988024
99    1  1  0.001308 25.696498 22.844490
100   2  1 28.507759 25.743167 25.743167
101   2  1  2.863284  0.005162  0.005162
102   2  1  2.855436 28.552174  2.855115
109   1  1  2.848263  0.000597 22.849543
110   2  1  2.851990  0.002885 25.698901
111   2  1  2.855436  2.855115 28.552174
112   2  1  2.855235  2.854548  2.854548
119   1  1  2.845620  2.846966 22.852186
120   2  1  2.854146  2.856122 25.695088
181   1  1  2.848263 22.849543  0.000597
182   1  1  2.845620 22.852186  2.846966
189   1  1  2.846242 22.851564 22.851564
190   1  1  2.846935 22.850871 25.702433
191   2  1  2.851990 25.698901  0.002885
192   2  1  2.854146 25.695088  2.856122
199   1  1  2.846935 25.702433 22.850871
200   1  1  2.853316 25.696498 25.696498
201   1  1  5.711429  0.001003  0.001003
210   1  1  5.710503  0.000764 25.698479
291   1  1  5.710503 25.698479  0.000764
300   1  1  5.709782 25.698481 25.698481
701   1  1 19.984452 28.552867 28.552867
702   1  1 19.990110 28.551736  2.852592
703   1  1 19.991191 28.552448  5.706615
710   1  1 19.986325  0.001144 25.696700
711   1  1 19.990110  2.852592 28.551736
712   1  1 19.990103  2.853494  2.853494
713   1  1 19.991583  2.852706  5.706223
720   1  1 19.989499  2.853476 25.699190
721   1  1 19.991191  5.706615 28.552448
722   1  1 19.991583  5.706223  2.852706
791   1  1 19.986325 25.696700  0.001144
792   1  1 19.989499 25.699190  2.853476
800   2  1 19.983962 25.695960 25.695960
801   2  1 22.797761  0.001912  0.001912
802   2  1 22.858832 28.544634  2.838974
803   1  1 22.845214 28.551736  5.707696
809   2  1 22.842691 28.552174 22.842370
810   2  1 22.843382  0.010902 25.693844
811   2  1 22.858832  2.838974 28.544634
812   1  1 22.861407  2.836399  2.836399
813   1  1 22.844312  2.853494  5.707703
819   2  1 22.843258  2.854548 22.842571
820   2  1 22.867552  2.830254 25.719529
821   1  1 22.845214  5.707696 28.551736
822   1  1 22.844312  5.707703  2.853494
823   1  1 22.845100  5.706223  5.706223
830   1  1 22.844330  5.708307 25.699190
881   2  1 22.842691 22.842370 28.552174
882   2  1 22.843258 22.842571  2.854548
889   1  1 22.850840 22.852186 22.852186
890   2  1 22.841684 22.843660 25.695088
891   2  1 22.843382 25.693844  0.010902
892   2  1 22.867552 25.719529  2.830254
893   1  1 22.844330 25.699190  5.708307
899   2  1 22.841684 25.695088 22.843660
900   2  1 22.838458 25.697267 25.697267
901   2  1 26.411448 27.839477 27.839477
902   2  1 25.695894  0.001912  2.900045
903   1  1 25.698059 28.552867  5.713354
908   1  1 25.696803  0.001003 19.986377
909   2  1 25.692644  0.005162 22.834522
910   2  1 25.706266 28.544660 25.632940
911   2  1 25.695894  2.900045  0.001912
912   2  1 25.706292  2.838974  2.838974
913   1  1 25.699190  2.852592  5.707696
919   2  1 25.698752  2.855115 22.842370
920   2  1 25.686904  2.854424 25.693844
921   1  1 25.698059  5.713354 28.552867
922   1  1 25.699190  5.707696  2.852592
923   1  1 25.698478  5.706615  5.706615
930   1  1 25.696662  5.711481 25.696700
971   1  1 25.696803 19.986377  0.001003
980   1  1 25.697042 19.987303 25.698479
981   2  1 25.692644 22.834522  0.005162
982   2  1 25.698752 22.842370  2.855115
989   1  1 25.697209 22.849543 22.849543
990   2  1 25.694921 22.845816 25.698901
991   2  1 25.706266 25.632940 28.544660
992   2  1 25.686904 25.693844  2.854424
993   1  1 25.696662 25.696700  5.711481
998   1  1 25.697042 25.698479 19.987303
999   2  1 25.694921 25.698901 22.845816
1000  2  1 25.752712 25.784613 25.784613
1001  2  1  1.431319  1.428568  1.428568
1002  2  1  1.428093  1.430747  4.282175
