Generated by pymatgen.io.lammps.data.LammpsData

161  atoms

  2  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847000
2  30.973762

Atoms

1     1  1  0.082910 28.558727 28.558727
2     1  1  0.001979  0.006991  2.851815
8     1  1 28.552497  0.000907 19.987376
9     1  1 28.552521  0.003976 22.844097
10    1  1 28.494931 28.520187 25.755995
11    1  1  0.001979  2.851815  0.006991
12    1  1 28.529734  2.829386  2.829386
19    1  1  0.002526  2.857323 22.842503
20    1  1 -0.006086  2.853372 25.703892
30    1  1  0.001039  5.712944 25.696767
71    1  1 28.552497 19.987376  0.000907
80    1  1 28.551450 19.988994 25.699476
81    1  1 28.552521 22.844097  0.003976
82    1  1  0.002526 22.842503  2.857323
89    1  1 28.548697 22.853680 22.853680
90    1  1 -0.005663 22.853914 25.703469
91    1  1 28.494931 25.755995 28.520187
92    1  1 -0.006086 25.703892  2.853372
93    1  1  0.001039 25.696767  5.712944
98    1  1 28.551450 25.699476 19.988994
99    1  1 -0.005663 25.703469 22.853914
100   1  1 28.443716 25.807210 25.807210
101   1  1  2.867637  0.008591  0.008591
102   1  1  2.857477 28.552973  2.857143
109   1  1  2.845932 -0.001852 22.851874
110   1  1  2.853709  0.003976 25.698405
111   1  1  2.857477  2.857143 28.552973
112   1  1  2.857073  2.857048  2.857048
119   1  1  2.847559  2.849631 22.850247
120   1  1  2.855303  2.857323 25.695280
181   1  1  2.845932 22.851874 -0.001852
182   1  1  2.847559 22.850247  2.849631
189   1  1  2.839912 22.857894 22.857894
190   1  1  2.844126 22.853680 25.702229
191   1  1  2.853709 25.698405  0.003976
192   1  1  2.855303 25.695280  2.857323
199   1  1  2.844126 25.702229 22.853680
200   1  1  2.843892 25.703469 25.703469
201   1  1  5.712099  0.001635  0.001635
210   1  1  5.710430  0.000907 25.698429
291   1  1  5.710430 25.698429  0.000907
300   1  1  5.708812 25.699476 25.699476
800   1  1 19.984862 25.696767 25.696767
801   1  1 22.804551 -0.002440 -0.002440
802   1  1 22.862509 28.543147  2.835297
809   1  1 22.840663 28.552973 22.840329
810   1  1 22.845991  0.006991 25.695827
811   1  1 22.862509  2.835297 28.543147
819   1  1 22.840758  2.857048 22.840733
820   1  1 22.868420  2.829386 25.721192
881   1  1 22.840663 22.840329 28.552973
882   1  1 22.840758 22.840733  2.857048
889   1  1 22.848175 22.850247 22.850247
890   1  1 22.840483 22.842503 25.695280
891   1  1 22.845991 25.695827  0.006991
892   1  1 22.868420 25.721192  2.829386
899   1  1 22.840483 25.695280 22.842503
900   1  1 22.844434 25.703892 25.703892
901   1  1 26.629210 27.621716 27.621716
902   1  1 25.700246 -0.002440  2.893255
908   1  1 25.696171  0.001635 19.985706
909   1  1 25.689215  0.008591 22.830169
910   1  1 25.692199 28.558727 25.614896
911   1  1 25.700246  2.893255 -0.002440
912   1  1 25.707779  2.835297  2.835297
919   1  1 25.697953  2.857143 22.840329
920   1  1 25.690815  2.851815 25.695827
971   1  1 25.696171 19.985706  0.001635
980   1  1 25.696899 19.987376 25.698429
981   1  1 25.689215 22.830169  0.008591
982   1  1 25.697953 22.840329  2.857143
989   1  1 25.699658 22.851874 22.851874
990   1  1 25.693830 22.844097 25.698405
991   1  1 25.692199 25.614896 28.558727
992   1  1 25.690815 25.695827  2.851815
998   1  1 25.696899 25.698429 19.987376
999   1  1 25.693830 25.698405 22.844097
1000  1  1 25.730739 25.755995 25.755995
1001  1  1  1.436807  1.434816  1.434816
1002  1  1  1.427115  1.430200  4.281416
1008  1  1  1.426310  1.427241 21.417031
1009  1  1  1.408121  1.413954 24.289685
1010  1  1  1.430883  1.435394 27.116485
1011  1  1  1.427115  4.281416  1.430200
1019  1  1  1.424443  4.281663 24.273363
1020  1  1  1.426625  4.282797 27.126434
1071  1  1  1.426310 21.417031  1.427241
1079  1  1  1.421576 21.422491 24.276230
1080  1  1  1.422913 21.419836 27.126208
1081  1  1  1.408121 24.289685  1.413954
1082  1  1  1.424443 24.273363  4.281663
1088  1  1  1.421576 24.276230 21.422491
1089  1  1  1.392701 24.305105 24.305105
1090  1  1  1.405276 24.292530 27.127163
1091  1  1  1.430883 27.116485  1.435394
1092  1  1  1.426625 27.126434  4.282797
1098  1  1  1.422913 27.126208 21.419836
1099  1  1  1.405276 27.127163 24.292530
1100  1  1  1.466352 27.135048 27.135048
1101  1  1  4.287773  1.431749  1.431749
1109  1  1  4.280775  1.427241 24.271496
1110  1  1  4.284806  1.430326 27.124754
1180  1  1  4.277356 21.420450 27.125816
1181  1  1  4.280775 24.271496  1.427241
1189  1  1  4.275315 24.276230 24.276230
1190  1  1  4.277970 24.274893 27.126208
1191  1  1  4.284806 27.124754  1.430326
1198  1  1  4.277356 27.125816 21.420450
1199  1  1  4.277970 27.126208 24.274893
