Generated by pymatgen.io.lammps.data.LammpsData

1999  atoms

   2  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847000
2  30.973762

Atoms

1     0  1  0.038475  0.000470  0.000470
2     0  1 28.546096  0.000470  2.849230
3     0  1 28.551834  0.000470  5.710177
4     0  1 28.552514  0.000470  8.566312
5     0  1 28.552618  0.000470 11.421718
6     0  1 28.552643  0.000470 14.277030
7     0  1 28.552618  0.000470 17.132341
8     0  1 28.552514  0.000470 19.987748
9     0  1 28.551834  0.000470 22.843882
10    0  1 28.546096  0.000470 25.704830
11    0  1 28.546096  2.849230  0.000470
12    0  1 28.536842  2.839976  2.839976
13    0  1 28.551779  2.854913  5.709853
14    0  1 28.552465  2.855598  8.566192
15    0  1 28.552593  2.855727 11.421668
16    0  1 28.552628  2.855761 14.277030
17    0  1 28.552593  2.855727 17.132392
18    0  1 28.552465  2.855598 19.987868
19    0  1 28.551779  2.854913 22.844206
20    0  1 28.536842  2.839976 25.714084
21    0  1 28.551834  5.710177  0.000470
22    0  1 28.551779  5.709853  2.854913
23    0  1 28.551940  5.708978  5.708978
24    0  1 28.552344  5.710450  8.565659
25    0  1 28.552548  5.710914 11.421505
26    0  1 28.552599  5.711016 14.277030
27    0  1 28.552548  5.710914 17.132555
28    0  1 28.552344  5.710450 19.988401
29    0  1 28.551940  5.708977 22.845082
30    0  1 28.551779  5.709853 25.699147
31    0  1 28.552514  8.566312  0.000470
32    0  1 28.552465  8.566192  2.855598
33    0  1 28.552344  8.565659  5.710450
34    0  1 28.552423  8.565644  8.565644
35    0  1 28.552541  8.566091 11.421392
36    0  1 28.552580  8.566243 14.277030
37    0  1 28.552541  8.566091 17.132668
38    0  1 28.552423  8.565644 19.988416
39    0  1 28.552344  8.565659 22.843609
40    0  1 28.552465  8.566192 25.698461
41    0  1 28.552618 11.421718  0.000470
42    0  1 28.552593 11.421668  2.855727
43    0  1 28.552548 11.421505  5.710914
44    0  1 28.552541 11.421392  8.566091
45    0  1 28.552560 11.421463 11.421463
46    0  1 28.552575 11.421553 14.277030
47    0  1 28.552560 11.421463 17.132597
48    0  1 28.552541 11.421392 19.987969
49    0  1 28.552548 11.421505 22.843145
50    0  1 28.552593 11.421668 25.698333
51    0  1 28.552643 14.277030  0.000470
52    0  1 28.552628 14.277030  2.855761
53    0  1 28.552599 14.277030  5.711016
54    0  1 28.552580 14.277030  8.566243
55    0  1 28.552575 14.277030 11.421553
56    0  1 28.552576 14.277030 14.277030
57    0  1 28.552575 14.277030 17.132506
58    0  1 28.552580 14.277030 19.987817
59    0  1 28.552599 14.277030 22.843043
60    0  1 28.552628 14.277030 25.698298
61    0  1 28.552618 17.132341  0.000470
62    0  1 28.552593 17.132392  2.855727
63    0  1 28.552548 17.132555  5.710914
64    0  1 28.552541 17.132668  8.566091
65    0  1 28.552560 17.132597 11.421463
66    0  1 28.552575 17.132506 14.277030
67    0  1 28.552560 17.132597 17.132597
68    0  1 28.552541 17.132668 19.987969
69    0  1 28.552548 17.132555 22.843145
70    0  1 28.552593 17.132392 25.698333
71    0  1 28.552514 19.987748  0.000470
72    0  1 28.552465 19.987868  2.855598
73    0  1 28.552344 19.988401  5.710450
74    0  1 28.552423 19.988416  8.565644
75    0  1 28.552541 19.987969 11.421392
76    0  1 28.552580 19.987817 14.277030
77    0  1 28.552541 19.987969 17.132668
78    0  1 28.552423 19.988416 19.988416
79    0  1 28.552344 19.988401 22.843609
80    0  1 28.552465 19.987868 25.698461
81    0  1 28.551834 22.843882  0.000470
82    0  1 28.551779 22.844206  2.854913
83    0  1 28.551940 22.845082  5.708977
84    0  1 28.552344 22.843609  8.565659
85    0  1 28.552548 22.843145 11.421505
86    0  1 28.552599 22.843043 14.277030
87    0  1 28.552548 22.843145 17.132555
88    0  1 28.552344 22.843609 19.988401
89    0  1 28.551940 22.845082 22.845082
90    0  1 28.551779 22.844206 25.699147
91    0  1 28.546096 25.704830  0.000470
92    0  1 28.536842 25.714084  2.839976
93    0  1 28.551779 25.699147  5.709853
94    0  1 28.552465 25.698461  8.566192
95    0  1 28.552593 25.698333 11.421668
96    0  1 28.552628 25.698298 14.277030
97    0  1 28.552593 25.698333 17.132392
98    0  1 28.552465 25.698461 19.987868
99    0  1 28.551779 25.699147 22.844206
100   0  1 28.536842 25.714084 25.714084
101   0  1  2.857261  0.000470  0.000470
102   0  1  2.853924  0.000470  2.854968
103   0  1  2.852737  0.000470  5.708991
104   0  1  2.854247  0.000470  8.565713
105   0  1  2.854689  0.000470 11.421531
106   0  1  2.854783  0.000470 14.277030
107   0  1  2.854689  0.000470 17.132528
108   0  1  2.854247  0.000470 19.988347
109   0  1  2.852737  0.000470 22.845069
110   0  1  2.853924  0.000470 25.699091
111   0  1  2.853924  2.854968  0.000470
