Generated by pymatgen.io.lammps.data.LammpsData

1236  atoms

   1  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847

Atoms

1     1  1 28.510811 28.511231 28.514233
2     1  1  0.000121 28.552161  2.859637
3     1  1  0.000245  0.001955  5.709470
4     1  1 28.552984  0.002122  8.567809
5     1  1 28.551221 28.549951 11.417052
6     1  1 28.551963 28.551167 14.273959
7     1  1 28.552329 28.552360 17.130534
8     1  1 28.552004  0.001279 19.985592
9     1  1  0.000406  0.002902 22.841817
10    1  1 28.511216 28.512170 25.739415
11    1  1 28.552174  2.855904  0.003373
12    1  1 28.549794  2.853305  2.852645
13    1  1 28.549210  2.858628  5.707617
14    1  1 28.551356  2.857437  8.565984
15    1  1 28.551430  2.858358 11.423599
16    1  1  0.000484  2.854093 14.273045
17    1  1  0.000364  2.855006 17.132025
18    1  1 28.551065  2.858657 19.984135
19    1  1 28.549287  2.854828 22.847841
20    1  1 28.552329  2.856543 25.697512
21    1  1 28.552179  5.711742  0.001217
22    1  1 28.551224  5.711239  2.854943
24    1  1 28.552592  5.711203  8.564721
25    1  1  0.001425  5.709431 11.420915
26    1  1 28.512067  5.751555 14.316886
27    1  1 28.511566  5.751416 17.089978
28    1  1  0.000265  5.708616 19.987546
29    1  1 28.550717  5.710604 22.845132
30    1  1 28.551884  5.711626 25.699203
31    1  1  0.002296  8.567019  0.001097
32    1  1 28.552039  8.567182  2.856053
33    1  1 28.551249  8.567018  5.709438
34    1  1  0.000175  8.566991  8.565029
35    1  1  0.002358  8.568708 11.420950
36    1  1 28.512814  8.526516 14.316757
37    1  1 28.512262  8.526359 17.089484
38    1  1  0.000790  8.568430 19.986266
39    1  1 28.550959  8.566876 22.844567
40    1  1 28.552030  8.566907 25.699272
41    1  1 28.551865 11.422014  0.001556
42    1  1 28.551942 11.421632  2.856484
45    1  1  0.001225 11.420658 11.423954
46    1  1  0.003297 11.424525 14.273200
47    1  1  0.003692 11.424728 17.129476
48    1  1 28.552265 11.418753 19.982425
50    1  1 28.551456 11.421881 25.699639
51    1  1 28.550178 14.277107  0.003293
52    1  1 28.550370 14.275605  2.857324
53    1  1 28.551057 14.273838  5.710958
54    1  1 28.552146 14.275756  8.566542
55    1  1 28.552207 14.278131 11.419400
56    1  1  0.000173 14.278565 14.274070
57    1  1  0.001106 14.277827 17.128601
61    1  1 28.551269 17.132823  0.003445
62    1  1 28.536625 17.146552  2.873151
63    1  1 28.548249 17.135142  5.712071
64    1  1 28.537676 17.144444  8.550829
65    1  1 28.548613 17.132275 11.418839
66    1  1 28.552704 17.132791 14.273847
67    1  1  0.001051 17.132024 17.129059
71    1  1 28.551671 19.987178  0.003226
72    1  1 28.545750 19.990922  2.867193
73    1  1  0.044555 19.983861  5.707837
74    1  1 28.546733 19.985674  8.558948
75    1  1 28.551725 19.989303 11.415353
76    1  1  0.000158 19.986663 14.273979
80    1  1 28.552359 19.986562 25.698477
81    1  1  0.000613 22.841247  0.003722
82    1  1 28.539295 22.827510  2.869362
83    1  1 28.506780 22.872038  5.755980
84    1  1 28.489413 22.864511  8.500572
85    1  1  0.001084 22.837228 11.417067
86    1  1  0.001410 22.839550 14.274845
89    1  1 28.552429 22.845683 22.845717
90    1  1  0.000867 22.842288 25.696775
91    1  1 28.511319 25.736876 28.514878
92    1  1  0.003397 25.697273  2.856930
93    1  1 28.511430 25.656921  5.753370
94    1  1 28.508853 25.655284  8.521856
95    1  1  0.000408 25.696349 11.417674
96    1  1 28.552956 25.695979 14.274775
98    1  1  0.000023 25.697123 19.985654
99    1  1  0.001092 25.696293 22.842000
100   1  1 28.511183 25.738521 25.739493
101   1  1  2.853335 28.553002  0.003793
102   1  1  2.844504 28.545748  2.858801
103   1  1  2.849785 28.549485  5.710328
104   1  1  2.849479 28.550455  8.565463
105   1  1  2.846389 28.546594 11.414090
109   1  1  2.850535  0.000273 22.845136
110   1  1  2.854034  0.001046 25.697038
111   1  1  2.850655  2.850571  0.001309
112   1  1  2.847357  2.848011  2.849967
115   1  1  2.847321  2.860139 11.425994
116   1  1  2.850884  2.856848 14.275352
117   1  1  2.851039  2.857616 17.130939
118   1  1  2.847233  2.860420 19.982021
119   1  1  2.847167  2.849774 22.848292
120   1  1  2.850809  2.851387 25.699009
125   1  1  2.851466  5.710895 11.424098
126   1  1  2.855115  5.708647 14.274377
127   1  1  2.854770  5.708618 17.133155
128   1  1  2.850426  5.710318 19.984543
135   1  1  2.852261  8.566500 11.424183
136   1  1  2.855902  8.568676 14.274359
137   1  1  2.855593  8.568919 17.132588
138   1  1  2.851332  8.566803 19.983018
144   1  1  2.854888 11.422636  8.567067
145   1  1  2.849716 11.417354 11.426566
146   1  1  2.853086 11.420817 14.275141
147   1  1  2.852868 11.421299 17.128656
148   1  1  2.848957 11.416436 19.979992
