Generated by pymatgen.io.lammps.data.LammpsData

1236  atoms

   1  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847

Atoms

1     1  1 28.511460 28.511464 28.514397
2     1  1  0.000746 28.551262  2.860372
3     1  1 -0.000182  0.000517  5.709955
4     1  1 28.552711 -0.000075  8.567016
5     1  1 28.550608 28.547175 11.414960
6     1  1 28.551813 28.549684 14.272688
7     1  1 28.552296 28.552239 17.130414
8     1  1 28.551960  0.001394 19.985477
9     1  1  0.000350  0.003270 22.841525
10    1  1 28.511220 28.512676 25.739035
11    1  1 28.552369  2.855760  0.003650
12    1  1 28.549976  2.852937  2.852997
13    1  1 28.549279  2.858349  5.707825
14    1  1 28.551417  2.856802  8.565740
15    1  1 28.551408  2.857220 11.422909
16    1  1  0.000406  2.853139 14.272241
17    1  1  0.000222  2.854667 17.131656
18    1  1 28.550979  2.858734 19.983970
19    1  1 28.549209  2.855075 22.847713
20    1  1 28.552339  2.856702 25.697561
21    1  1 28.552183  5.711771  0.001369
22    1  1 28.551223  5.711228  2.855013
24    1  1 28.552605  5.711062  8.564714
25    1  1  0.001387  5.709059 11.420722
26    1  1 28.512026  5.751031 14.316538
27    1  1 28.511420  5.751147 17.089708
28    1  1  0.000166  5.708616 19.987425
29    1  1 28.550618  5.710730 22.845143
30    1  1 28.551834  5.711746 25.699329
31    1  1  0.002222  8.567236  0.001251
32    1  1 28.552029  8.567310  2.856119
33    1  1 28.551240  8.567053  5.709472
34    1  1  0.000175  8.566969  8.565065
35    1  1  0.002329  8.568502 11.421024
36    1  1 28.512733  8.526197 14.316829
37    1  1 28.512270  8.526240 17.089454
38    1  1  0.000737  8.568409 19.986212
39    1  1 28.550863  8.566954 22.844649
40    1  1 28.551944  8.567097 25.699419
41    1  1 28.551701 11.422540  0.001881
42    1  1 28.551920 11.422093  2.856693
45    1  1  0.001261 11.420168 11.424459
46    1  1  0.003379 11.424288 14.273461
47    1  1  0.003783 11.424766 17.129385
48    1  1 28.552279 11.418757 19.982370
50    1  1 28.551292 11.422126 25.699858
51    1  1 28.550322 14.278450  0.004474
52    1  1 28.549916 14.277457  2.858463
53    1  1 28.552315 14.273527  5.710215
54    1  1 28.554173 14.272778  8.568761
55    1  1 28.552450 14.277031 11.420619
56    1  1  0.000580 14.278881 14.273886
57    1  1  0.001243 14.277926 17.128473
61    1  1 28.550411 17.133581  0.004355
62    1  1 28.530586 17.157115  2.883046
63    1  1 28.557104 17.133082  5.702707
64    1  1 28.552185 17.128888  8.565475
65    1  1 28.551967 17.132732 11.418024
66    1  1 28.553211 17.132792 14.273798
67    1  1  0.001101 17.132025 17.128995
71    1  1 28.553167 19.986502  0.001491
72    1  1 28.556670 19.980248  2.860521
73    1  1  0.063623 20.002859  5.724408
74    1  1 28.464230 20.048467  8.475491
75    1  1 28.551843 19.988287 11.413608
76    1  1  0.000203 19.986846 14.274382
80    1  1 28.552494 19.986731 25.698080
81    1  1  0.003806 22.844607 -0.000641
82    1  1 28.559108 22.845149  2.848437
83    1  1 28.439361 22.793326  5.799870
84    1  1 28.475971 22.836080  8.486592
85    1  1  0.006202 22.841468 11.419010
86    1  1  0.002067 22.840204 14.275124
89    1  1 28.552475 22.845873 22.845543
90    1  1  0.001330 22.843086 25.695905
91    1  1 28.511812 25.739150 28.512655
92    1  1  0.006715 25.697464  2.855967
93    1  1 28.505245 25.647835  5.757280
94    1  1 28.505367 25.646654  8.517862
95    1  1 -0.003434 25.690397 11.412134
96    1  1 28.552462 25.695409 14.274006
98    1  1  0.000007 25.697180 19.985595
99    1  1  0.001107 25.696618 22.841676
100   1  1 28.511474 25.739479 25.738493
101   1  1  2.854019 28.553264  0.003943
102   1  1  2.843544 28.544344  2.860846
103   1  1  2.849038 28.548060  5.710964
104   1  1  2.848541 28.548568  8.564610
105   1  1  2.845827 28.544754 11.412870
109   1  1  2.850555  0.000603 22.844875
110   1  1  2.854377  0.001754 25.696531
111   1  1  2.850738  2.850504  0.001537
112   1  1  2.847194  2.847807  2.850333
115   1  1  2.847025  2.859420 11.425652
116   1  1  2.850477  2.856298 14.274946
117   1  1  2.850835  2.857392 17.130713
118   1  1  2.847204  2.860455 19.981924
119   1  1  2.847117  2.849954 22.848168
120   1  1  2.850835  2.851530 25.698996
125   1  1  2.851359  5.710646 11.424003
126   1  1  2.854941  5.708286 14.274195
127   1  1  2.854628  5.708377 17.132997
128   1  1  2.850375  5.710272 19.984471
135   1  1  2.852273  8.566292 11.424290
136   1  1  2.855887  8.568379 14.274455
137   1  1  2.855558  8.568745 17.132560
138   1  1  2.851296  8.566743 19.982973
144   1  1  2.855226 11.422288  8.567246
145   1  1  2.850225 11.416652 11.427230
146   1  1  2.853295 11.420618 14.275378
147   1  1  2.852943 11.421351 17.128572
148   1  1  2.848941 11.416425 19.979967
