Generated by pymatgen.io.lammps.data.LammpsData

1236  atoms

   1  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847

Atoms

1     1  1 28.511641 28.512189 28.513624
2     1  1  0.001271 28.552520  2.859394
3     1  1  0.000279  0.001694  5.709445
4     1  1 28.552305  0.000315  8.566536
5     1  1 28.551185 28.546924 11.414840
6     1  1 28.552162 28.549154 14.272300
7     1  1 28.552314 28.552195 17.130407
8     1  1 28.551927  0.001347 19.985530
9     1  1  0.000280  0.003185 22.841591
10    1  1 28.511200 28.512723 25.738970
11    1  1 28.552437  2.856232  0.003224
12    1  1 28.550129  2.853393  2.852613
13    1  1 28.549373  2.858580  5.707692
14    1  1 28.551470  2.856967  8.565797
15    1  1 28.551645  2.857239 11.423001
16    1  1  0.000598  2.853036 14.272188
17    1  1  0.000225  2.854609 17.131650
18    1  1 28.550934  2.858713 19.984004
19    1  1 28.549146  2.855106 22.847679
20    1  1 28.552312  2.856941 25.697298
21    1  1 28.552167  5.712026  0.001213
22    1  1 28.551253  5.711386  2.854926
24    1  1 28.552631  5.711082  8.564732
25    1  1  0.001482  5.709105 11.420786
26    1  1 28.512116  5.751043 14.316569
27    1  1 28.511428  5.751147 17.089735
28    1  1  0.000123  5.708642 19.987442
29    1  1 28.550552  5.710839 22.845101
30    1  1 28.551772  5.711959 25.699216
31    1  1  0.002172  8.567413  0.001249
32    1  1 28.552031  8.567394  2.856105
33    1  1 28.551262  8.567051  5.709476
34    1  1  0.000208  8.566951  8.565087
35    1  1  0.002385  8.568519 11.421056
36    1  1 28.512783  8.526233 14.316848
37    1  1 28.512272  8.526241 17.089471
38    1  1  0.000714  8.568434 19.986244
39    1  1 28.550822  8.567034 22.844682
40    1  1 28.551890  8.567262 25.699431
41    1  1 28.551588 11.422766  0.001989
42    1  1 28.551901 11.422251  2.856763
45    1  1  0.001343 11.420230 11.424422
46    1  1  0.003450 11.424296 14.273487
47    1  1  0.003795 11.424730 17.129442
48    1  1 28.552284 11.418758 19.982382
50    1  1 28.551215 11.422255 25.699928
51    1  1 28.550116 14.278646  0.004633
52    1  1 28.549804 14.277825  2.858898
53    1  1 28.552341 14.273875  5.710846
54    1  1 28.553570 14.273497  8.568041
55    1  1 28.552718 14.277152 11.420399
56    1  1  0.000747 14.278600 14.274222
57    1  1  0.001268 14.277937 17.128495
61    1  1 28.550147 17.134032  0.004714
62    1  1 28.530188 17.156711  2.883014
63    1  1 28.555603 17.134566  5.707253
64    1  1 28.545095 17.135219  8.558129
65    1  1 28.551767 17.131859 11.418879
66    1  1 28.553518 17.132784 14.274017
67    1  1  0.001192 17.132104 17.128933
71    1  1 28.552859 19.986934  0.002422
72    1  1 28.554938 19.984738  2.863369
73    1  1  0.080737 19.986121  5.707763
74    1  1 28.493320 20.025443  8.504096
75    1  1 28.551372 19.988315 11.413771
76    1  1  0.000158 19.987274 14.273825
80    1  1 28.552422 19.986697 25.698297
81    1  1  0.002852 22.843675  0.000672
82    1  1 28.552061 22.838183  2.854661
83    1  1 28.469916 22.825353  5.775373
84    1  1 28.400773 22.780682  8.410557
85    1  1 -0.001471 22.835033 11.405348
86    1  1  0.001223 22.839840 14.273830
89    1  1 28.552413 22.845802 22.845625
90    1  1  0.001126 22.842844 25.696207
91    1  1 28.511886 25.738885 28.512791
92    1  1  0.007593 25.700060  2.853887
93    1  1 28.508218 25.653112  5.754470
94    1  1 28.500238 25.643717  8.512518
95    1  1 -0.002602 25.689546 11.410138
96    1  1 28.552919 25.694735 14.273375
98    1  1 -0.000018 25.697161 19.985628
99    1  1  0.001023 25.696518 22.841801
100   1  1 28.511315 25.739230 25.738767
101   1  1  2.854265 28.553669  0.003326
102   1  1  2.844431 28.545106  2.860028
103   1  1  2.849132 28.548180  5.711342
104   1  1  2.848548 28.548440  8.565014
105   1  1  2.845335 28.543581 11.412168
109   1  1  2.850521  0.000525 22.844898
110   1  1  2.854362  0.001686 25.696431
111   1  1  2.850836  2.850762  0.001231
112   1  1  2.847386  2.848058  2.850122
115   1  1  2.847035  2.859236 11.425586
116   1  1  2.850479  2.856253 14.274951
117   1  1  2.850804  2.857352 17.130715
118   1  1  2.847175  2.860441 19.981940
119   1  1  2.847099  2.849960 22.848131
120   1  1  2.850854  2.851656 25.698796
125   1  1  2.851398  5.710649 11.424017
126   1  1  2.854977  5.708287 14.274221
127   1  1  2.854626  5.708368 17.133019
128   1  1  2.850358  5.710270 19.984482
135   1  1  2.852282  8.566314 11.424283
136   1  1  2.855917  8.568403 14.274463
137   1  1  2.855577  8.568740 17.132581
138   1  1  2.851299  8.566739 19.982985
144   1  1  2.855181 11.422289  8.567273
145   1  1  2.850075 11.416789 11.427070
146   1  1  2.853317 11.420632 14.275370
147   1  1  2.852986 11.421307 17.128628
148   1  1  2.848948 11.416421 19.979977
