Generated by pymatgen.io.lammps.data.LammpsData

1990  atoms

   1  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847

Atoms

1     0  1 28.511430 28.511191 28.514092
2     0  1  0.000433 28.550689  2.860035
3     0  1 28.552215 28.552755  5.709536
4     0  1 28.551754 28.552079  8.566487
5     0  1 28.549684 28.546363 11.414249
6     0  1 28.551193 28.548958 14.271916
7     0  1 28.552071 28.551658 17.129672
8     0  1 28.551975  0.001282 19.985115
9     0  1  0.000499  0.003298 22.841283
10    0  1 28.511392 28.512663 25.738778
11    0  1 28.552387  2.855587  0.003625
12    0  1 28.549784  2.852590  2.852940
13    0  1 28.548811  2.857786  5.707588
14    0  1 28.550850  2.856290  8.565404
15    0  1 28.550914  2.856850 11.422423
16    0  1  0.000140  2.852727 14.271765
17    0  1  0.000189  2.854284 17.131107
18    0  1 28.551021  2.858593 19.983624
19    0  1 28.549338  2.855083 22.847557
20    0  1 28.552474  2.856675 25.697499
21    0  1 28.552263  5.711686  0.001553
22    0  1 28.551232  5.711048  2.855174
23    0  1 28.550383  5.710862  5.708080
24    0  1 28.552425  5.710804  8.564495
25    0  1  0.001244  5.708816 11.420437
26    0  1 28.511979  5.750768 14.316215
27    0  1 28.511420  5.750966 17.089393
28    0  1  0.000240  5.708538 19.987220
29    0  1 28.550754  5.710765 22.845137
30    0  1 28.551962  5.711750 25.699466
31    0  1  0.002310  8.567354  0.001571
32    0  1 28.552111  8.567383  2.856353
33    0  1 28.551366  8.567113  5.709560
34    0  1  0.000247  8.566913  8.565049
35    0  1  0.002340  8.568394 11.420908
36    0  1 28.512736  8.526099 14.316670
37    0  1 28.512323  8.526180 17.089316
38    0  1  0.000835  8.568416 19.986184
39    0  1 28.550991  8.567087 22.844815
40    0  1 28.552042  8.567271 25.699770
41    0  1 28.551814 11.423005  0.002454
42    0  1 28.552038 11.422344  2.857019
43    0  1  0.000633 11.423720  5.712387
44    0  1  0.001505 11.422342  8.567117
45    0  1  0.001375 11.420170 11.424431
46    0  1  0.003449 11.424258 14.273369
47    0  1  0.003883 11.424718 17.129350
48    0  1 28.552387 11.418767 19.982453
49    0  1 28.550690 11.421214 22.843870
50    0  1 28.551428 11.422596 25.700434
51    0  1 28.550093 14.279214  0.005133
52    0  1 28.549918 14.278050  2.858996
53    0  1 28.552733 14.273682  5.710214
54    0  1  0.001344 14.272988  8.568855
55    0  1 28.552522 14.277114 11.420596
56    0  1  0.000674 14.278840 14.273855
57    0  1  0.001405 14.277822 17.128550
58    0  1 28.552343 14.275605 19.985647
59    0  1 28.549875 14.273341 22.844287
60    0  1 28.550354 14.276146 25.700204
61    0  1 28.550916 17.134398  0.004615
62    0  1 28.530892 17.157721  2.883215
63    0  1  0.004281 17.133223  5.702565
64    0  1 28.552214 17.128948  8.565420
65    0  1 28.551796 17.132799 11.418073
66    0  1  0.000090 17.132765 14.273885
67    0  1  0.001230 17.131951 17.129198
68    0  1 28.552678 17.130995 19.986424
69    0  1 28.552135 17.130794 22.842691
70    0  1 28.552003 17.131581 25.698860
71    0  1  0.001039 19.986315  0.000934
72    0  1  0.004181 19.980063  2.859941
73    0  1  0.063612 20.002665  5.723992
74    0  1 28.463983 20.048118  8.475312
75    0  1 28.551358 19.987867 11.413668
76    0  1 28.552937 19.986593 14.274703
77    0  1  0.001439 19.986378 17.129748
78    0  1  0.000139 19.987373 19.987259
79    0  1 28.552759 19.987456 22.842803
80    0  1  0.000060 19.986712 25.697811
81    0  1  0.004376 22.844275 28.551892
82    0  1  0.006259 22.844586  2.847775
83    0  1 28.439256 22.792507  5.799223
84    0  1 28.475142 22.834687  8.485947
85    0  1  0.005417 22.840273 11.418811
86    0  1  0.001606 22.839505 14.275191
87    0  1  0.002455 22.839072 17.128605
88    0  1  0.000371 22.842161 19.986645
89    0  1 28.552815 22.845930 22.845335
90    0  1  0.001857 22.843002 25.695555
91    0  1 28.511992 25.738838 28.512180
92    0  1  0.006574 25.696768  2.855391
93    0  1 28.504637 25.646788  5.756719
94    0  1 28.504217 25.645139  8.517099
95    0  1 28.548612 25.688903 11.411406
96    0  1 28.551769 25.694218 14.273325
97    0  1 28.553062 25.695994 17.129902
98    0  1  0.000064 25.697152 19.985375
99    0  1  0.001340 25.696665 22.841420
100   0  1 28.511796 25.739390 25.738129
101   0  1  2.853979 28.553000  0.003733
102   0  1  2.842913 28.543520  2.860665
103   0  1  2.847642 28.546627  5.710789
104   0  1  2.846744 28.546849  8.563844
105   0  1  2.843867 28.543255 11.411499
106   0  1  2.851303 28.549338 14.272137
107   0  1  2.853444 28.551865 17.129870
108   0  1  2.853026  0.000397 19.986270
109   0  1  2.850767  0.000776 22.844436
110   0  1  2.854581  0.001821 25.696177
111   0  1  2.850675  2.850214  0.001661
112   0  1  2.846840  2.847155  2.850582
