,idav,idsps,type,iters,ntrans,emax,barrier,prefactor,ebias,dtot,dmag,dmax,dsum,adsum,nad,dtotfs,dmagfs,dmaxfs,dsumfs,adsumfs,nadfs,dtotfi,dmagfi,dmaxfi,dsumfi,adsumfi,nadfi,precursor,isConnect,reason
0,0,3,4,2208,343,11.105,0.649,10.0,0.552,2.823,0.864,0.806,0.569,2.63,18,1.376,0.398,0.36,0.448,1.315,12,3.196,1.216,1.165,1.017,3.012,10,1,1,DupAV
1,0,5,6,2467,380,14.234,0.646,10.0,0.552,2.83,0.863,0.804,0.57,2.637,18,1.373,0.397,0.358,0.44,1.313,12,3.194,1.213,1.163,1.01,3.011,10,1,1,DupAV
2,0,9,10,2117,338,11.696,0.646,10.0,0.553,2.829,0.864,0.805,0.571,2.637,18,1.372,0.397,0.358,0.44,1.312,12,3.195,1.214,1.163,1.011,3.011,10,1,1,DupAV
0,1,7,8,2065,339,11.661,0.646,10.0,0.553,2.835,0.863,0.804,0.568,2.64,18,1.378,0.397,0.359,0.441,1.318,12,3.199,1.214,1.163,1.01,3.015,11,1,1,DupAV
1,1,9,10,2153,337,11.171,0.647,10.0,0.553,2.831,0.864,0.805,0.572,2.638,18,1.373,0.397,0.358,0.44,1.314,12,3.197,1.214,1.164,1.012,3.012,10,1,1,DupAV
0,2,4,5,1754,286,7.676,0.434,10.0,0.343,2.585,0.782,0.724,0.914,2.406,17,1.509,0.439,0.394,0.316,1.446,17,3.104,1.168,1.118,1.229,2.945,12,1,1,DupAV
1,2,6,7,2530,392,13.806,0.65,10.0,0.573,2.858,0.881,0.818,0.792,2.67,18,1.306,0.369,0.329,0.352,1.244,14,3.207,1.201,1.147,1.143,3.029,12,1,1,DupAV
2,2,8,9,1155,185,3.297,0.433,10.0,0.342,2.625,0.779,0.72,0.636,2.438,16,1.519,0.44,0.396,0.44,1.447,15,3.135,1.167,1.116,1.076,2.978,12,1,1,DupAV
0,3,1,2,1492,231,5.218,0.434,10.0,0.343,2.606,0.778,0.72,0.492,2.423,16,1.504,0.439,0.395,0.461,1.435,15,3.087,1.165,1.115,0.953,2.932,12,1,1,DupAV
1,3,2,3,1474,235,5.372,0.434,10.0,0.343,2.605,0.778,0.72,0.492,2.423,16,1.504,0.439,0.395,0.461,1.434,15,3.087,1.165,1.115,0.953,2.932,12,1,1,DupAV
2,3,5,6,1501,237,5.482,0.434,10.0,0.343,2.605,0.778,0.72,0.492,2.423,16,1.504,0.439,0.395,0.461,1.434,15,3.087,1.165,1.115,0.953,2.932,12,1,1,DupAV
