,idav,barrier,prefactor,ebias,dmag,dmax,dsum,dsumr,dmagfi,dmaxfi,dsumfi,dsumrfi,isConnect,probability,isSel
0,0,0.644,10.000,0.551,0.865,0.804,0.482,0.153,1.215,1.163,0.941,0.277,1,0.977,0
1,0,0.645,10.000,0.552,0.865,0.804,0.119,0.035,1.214,1.163,0.711,0.203,1,0.963,0
2,0,0.646,10.000,0.550,0.870,0.807,0.721,0.203,1.219,1.167,1.102,0.313,1,0.949,0
3,0,0.645,10.000,0.552,0.867,0.804,0.217,0.059,1.215,1.163,0.753,0.211,1,0.963,0
4,0,0.644,10.000,0.551,0.876,0.810,1.473,0.387,1.222,1.169,1.485,0.404,1,0.977,0
5,0,0.645,10.000,0.552,0.867,0.804,0.116,0.032,1.215,1.163,0.766,0.215,1,0.963,0
6,0,0.642,10.000,0.550,0.873,0.807,1.461,0.387,1.219,1.166,1.509,0.409,1,1.006,0
7,0,0.645,10.000,0.551,0.866,0.805,0.576,0.176,1.217,1.165,1.051,0.300,1,0.963,0
8,0,0.636,10.000,0.542,0.867,0.803,1.019,0.303,1.218,1.165,1.327,0.375,1,1.097,0
9,0,0.645,10.000,0.552,0.866,0.804,0.398,0.116,1.215,1.163,0.806,0.230,1,0.963,0
10,0,0.645,10.000,0.552,0.869,0.806,0.528,0.151,1.216,1.164,1.044,0.294,1,0.963,0
11,0,0.644,10.000,0.551,0.871,0.807,1.065,0.294,1.217,1.165,1.230,0.344,1,0.977,0
12,0,0.645,10.000,0.569,0.890,0.817,0.606,0.152,1.207,1.149,0.998,0.258,1,0.963,0
13,0,0.430,10.000,0.340,0.785,0.721,1.123,0.326,1.170,1.118,1.348,0.370,1,21.777,0
14,0,0.430,10.000,0.339,0.782,0.719,0.439,0.128,1.170,1.117,1.015,0.276,1,21.777,1
15,0,0.643,10.000,0.566,0.883,0.814,0.666,0.183,1.205,1.147,1.052,0.280,1,0.991,0
16,0,0.649,10.000,0.573,0.887,0.817,0.556,0.153,1.207,1.148,1.047,0.276,1,0.909,0
17,0,0.637,10.000,0.548,0.876,0.808,0.173,0.046,1.227,1.173,0.704,0.188,1,1.081,0
18,0,0.634,10.000,0.546,0.877,0.808,0.672,0.189,1.227,1.173,1.054,0.295,1,1.129,0
19,0,0.648,10.000,0.558,0.872,0.810,0.373,0.108,1.216,1.163,0.863,0.239,1,0.922,0
20,0,0.638,10.000,0.550,0.877,0.809,0.218,0.059,1.227,1.173,0.771,0.209,1,1.066,0
