,idav,idsps,type,iters,ntrans,emax,barrier,prefactor,ebias,dtot,dmag,dmax,dsum,adsum,nad,dtotfs,dmagfs,dmaxfs,dsumfs,adsumfs,nadfs,dtotfi,dmagfi,dmaxfi,dsumfi,adsumfi,nadfi,precursor,isConnect
0,0,0,1,152,41,0.645,0.644,10.0,0.551,3.388,0.865,0.804,0.482,3.154,18,1.657,0.399,0.359,0.488,1.573,13,3.618,1.215,1.163,0.941,3.399,11,0,1
1,0,1,2,161,43,0.646,0.645,10.0,0.552,3.623,0.865,0.804,0.119,3.37,18,1.747,0.399,0.359,0.623,1.658,14,3.719,1.214,1.163,0.711,3.496,10,0,1
2,0,2,3,164,44,0.647,0.646,10.0,0.55,3.791,0.87,0.807,0.721,3.543,18,1.875,0.401,0.36,0.398,1.786,15,3.754,1.219,1.167,1.102,3.526,11,0,1
3,0,3,4,165,44,0.646,0.645,10.0,0.552,3.905,0.867,0.804,0.217,3.649,18,1.923,0.4,0.359,0.826,1.827,14,3.792,1.215,1.163,0.753,3.57,11,0,1
4,0,4,5,166,44,0.647,0.644,10.0,0.551,4.051,0.876,0.81,1.473,3.804,18,2.011,0.403,0.359,0.155,1.924,16,3.906,1.222,1.169,1.485,3.676,11,0,1
5,0,5,6,165,44,0.646,0.645,10.0,0.552,3.873,0.867,0.804,0.116,3.614,18,1.892,0.4,0.359,0.784,1.798,14,3.794,1.215,1.163,0.766,3.569,11,0,1
6,0,6,7,169,45,0.644,0.642,10.0,0.55,4.026,0.873,0.807,1.461,3.777,18,1.977,0.402,0.359,0.078,1.892,16,3.921,1.219,1.166,1.509,3.686,11,0,1
7,0,7,8,156,42,0.646,0.645,10.0,0.551,3.518,0.866,0.805,0.576,3.275,18,1.69,0.399,0.359,0.521,1.606,13,3.725,1.217,1.165,1.051,3.498,10,0,1
8,0,8,9,157,42,0.637,0.636,10.0,0.542,3.604,0.867,0.803,1.019,3.365,18,1.772,0.404,0.362,0.344,1.695,15,3.773,1.218,1.165,1.327,3.543,12,0,1
9,0,9,10,161,43,0.646,0.645,10.0,0.552,3.694,0.866,0.804,0.398,3.426,18,1.779,0.399,0.359,0.711,1.681,13,3.731,1.215,1.163,0.806,3.498,11,0,1
10,0,10,11,153,41,0.646,0.645,10.0,0.552,3.736,0.869,0.806,0.528,3.487,18,1.817,0.399,0.358,0.624,1.728,14,3.78,1.216,1.164,1.044,3.552,10,0,1
11,0,11,12,165,44,0.645,0.644,10.0,0.551,3.878,0.871,0.807,1.065,3.62,18,1.897,0.4,0.358,0.284,1.811,16,3.808,1.217,1.165,1.23,3.572,11,0,1
12,0,12,13,167,44,0.647,0.645,10.0,0.569,4.267,0.89,0.817,0.606,3.995,18,1.98,0.378,0.331,0.54,1.875,17,4.101,1.207,1.149,0.998,3.861,13,0,1
13,0,13,14,159,42,0.431,0.43,10.0,0.34,3.701,0.785,0.721,1.123,3.446,17,2.083,0.445,0.398,0.265,1.979,17,3.856,1.17,1.118,1.348,3.642,12,0,1
14,0,14,15,157,42,0.431,0.43,10.0,0.339,3.685,0.782,0.719,0.439,3.427,18,2.089,0.446,0.399,0.622,1.976,17,3.888,1.17,1.117,1.015,3.675,12,0,1
15,0,15,16,162,43,0.644,0.643,10.0,0.566,3.893,0.883,0.814,0.666,3.639,18,1.801,0.377,0.334,0.448,1.705,15,3.99,1.205,1.147,1.052,3.756,13,0,1
16,0,16,17,159,42,0.65,0.649,10.0,0.573,3.899,0.887,0.817,0.556,3.645,18,1.765,0.374,0.331,0.552,1.662,15,4.032,1.207,1.148,1.047,3.79,13,0,1
17,0,17,18,162,43,0.638,0.637,10.0,0.548,4.051,0.876,0.808,0.173,3.779,18,1.929,0.409,0.366,0.816,1.833,16,3.975,1.227,1.173,0.704,3.736,12,0,1
18,0,18,19,159,43,0.635,0.634,10.0,0.546,3.809,0.877,0.808,0.672,3.549,18,1.844,0.408,0.365,0.45,1.756,17,3.807,1.227,1.173,1.054,3.574,12,0,1
19,0,19,20,149,39,0.649,0.648,10.0,0.558,3.7,0.872,0.81,0.373,3.441,18,1.72,0.394,0.353,0.623,1.623,14,3.856,1.216,1.163,0.863,3.614,12,0,1
20,0,20,21,170,44,0.646,0.638,10.0,0.55,3.999,0.877,0.809,0.218,3.725,18,1.89,0.408,0.365,0.726,1.794,16,3.928,1.227,1.173,0.771,3.688,12,0,1
21,0,21,22,153,41,0.636,0.635,10.0,0.547,3.564,0.875,0.808,0.651,3.323,18,1.713,0.407,0.365,0.483,1.631,17,3.725,1.226,1.173,1.102,3.5,12,0,1
22,0,22,23,160,43,0.644,0.642,10.0,0.552,3.915,0.873,0.809,0.859,3.665,18,1.925,0.396,0.354,0.316,1.839,16,3.774,1.214,1.163,1.118,3.547,11,0,1
23,0,23,24,164,44,0.637,0.636,10.0,0.548,3.913,0.876,0.807,0.289,3.649,18,1.924,0.409,0.366,0.778,1.825,17,3.861,1.227,1.173,0.87,3.629,12,0,1
24,0,24,25,165,44,0.634,0.632,10.0,0.545,3.983,0.878,0.809,0.701,3.73,18,1.908,0.409,0.365,0.468,1.824,18,3.96,1.228,1.174,1.102,3.718,12,0,1
25,0,25,26,160,43,0.635,0.634,10.0,0.546,3.826,0.878,0.809,0.726,3.572,18,1.831,0.408,0.365,0.48,1.744,18,3.882,1.228,1.174,1.204,3.643,12,0,1
26,0,26,27,158,42,0.634,0.633,10.0,0.544,3.783,0.874,0.807,0.642,3.527,18,1.76,0.41,0.367,0.546,1.67,17,3.943,1.228,1.174,1.085,3.703,12,0,1
27,0,27,28,160,43,0.646,0.645,10.0,0.551,3.364,0.866,0.805,0.61,3.134,18,1.658,0.398,0.358,0.441,1.582,14,3.525,1.215,1.164,1.014,3.316,10,0,1
28,0,28,29,168,45,0.645,0.644,10.0,0.551,3.58,0.87,0.807,1.244,3.359,18,1.816,0.399,0.357,0.116,1.74,15,3.597,1.217,1.165,1.355,3.388,11,0,1
29,0,29,30,148,40,0.646,0.645,10.0,0.552,3.14,0.864,0.805,0.528,2.927,18,1.54,0.398,0.358,0.477,1.466,12,3.473,1.215,1.163,0.997,3.269,10,0,1
30,0,30,31,161,43,0.647,0.646,10.0,0.552,3.524,0.865,0.804,0.237,3.276,18,1.745,0.398,0.359,0.761,1.654,14,3.554,1.214,1.163,0.731,3.341,10,0,1
31,0,31,32,156,42,0.646,0.646,10.0,0.552,3.263,0.865,0.805,0.605,3.041,18,1.566,0.398,0.358,0.448,1.492,12,3.581,1.215,1.163,1.012,3.371,11,0,1
32,0,32,33,153,41,0.646,0.646,10.0,0.553,3.24,0.864,0.805,0.611,3.009,18,1.592,0.397,0.358,0.462,1.514,13,3.451,1.214,1.163,0.948,3.244,11,0,1
33,0,33,34,167,44,0.651,0.649,10.0,0.562,3.93,0.883,0.818,1.239,3.682,19,1.936,0.392,0.347,0.211,1.848,19,3.884,1.218,1.165,1.376,3.645,11,0,1
34,0,34,35,156,42,0.645,0.644,10.0,0.552,3.614,0.869,0.808,0.644,3.358,18,1.748,0.396,0.356,0.556,1.657,13,3.743,1.215,1.163,1.03,3.512,10,0,1
35,0,35,36,167,44,0.657,0.655,10.0,0.568,3.958,0.884,0.819,1.097,3.708,18,1.912,0.394,0.35,0.241,1.825,17,3.898,1.222,1.168,1.321,3.662,11,0,1
36,0,36,37,171,45,0.687,0.648,10.0,0.56,4.136,0.881,0.814,0.849,3.883,18,2.048,0.396,0.351,0.425,1.956,20,3.93,1.218,1.165,1.192,3.691,11,0,1
37,0,38,39,161,43,0.643,0.641,10.0,0.548,3.868,0.868,0.804,0.8,3.61,18,1.883,0.402,0.361,0.401,1.793,16,3.907,1.218,1.165,1.144,3.668,11,0,1
38,0,39,40,164,43,0.645,0.642,10.0,0.552,4.054,0.872,0.807,1.134,3.793,18,2.016,0.399,0.357,0.298,1.918,16,3.901,1.217,1.164,1.283,3.667,11,0,1
